bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Chart_2,2,-,-,-,-
Chart_2,4,-,-,-,-
Chart_2,6,115,55,116,-
Chart_2,8,-,-,-,-
Chart_2,10,118,57,118,-
Chart_2,12,-,-,-,-
Chart_2,14,-,-,-,-
Chart_2,16,142,72,143,-
Chart_2,18,115,54,115,-
Chart_2,20,117,57,117,-
Chart_2,22,-,-,-,-
Chart_2,24,-,-,-,-
Chart_2,26,-,-,-,-
Chart_2,28,-,-,-,-
Chart_2,30,127,56,128,-
Chart_2,32,131,59,131,-
Chart_2,34,-,-,-,-
Chart_2,36,136,58,136,-
Chart_2,38,-,-,-,-
Chart_2,40,-,-,-,-
Chart_2,42,126,55,126,-
Chart_2,44,-,-,-,-
Chart_2,46,-,-,-,-
Chart_2,48,130,56,131,-
Chart_2,50,-,-,-,-
Chart_2,52,-,-,-,-
Chart_2,54,117,57,118,-
Chart_2,56,-,-,-,-
Chart_2,58,-,-,-,-
Chart_2,60,-,-,-,-
Chart_2,62,114,55,115,-
Chart_2,64,116,56,116,-
Chart_2,66,115,56,115,-
Chart_2,68,-,-,-,-
Chart_2,70,-,-,-,-
Chart_2,72,127,57,128,-
Chart_2,74,119,59,120,-
Chart_2,76,117,58,118,-
Chart_2,78,-,-,-,-
Chart_2,80,-,-,-,-
Chart_2,82,-,-,-,-
Chart_2,84,-,-,-,-
Chart_2,86,117,56,117,-
Chart_2,88,-,-,-,-
Chart_2,90,122,58,123,-
Chart_2,92,115,57,116,-
Chart_2,94,115,56,115,-
Chart_2,96,115,56,116,-
Chart_2,98,114,56,115,-
Chart_2,100,-,-,-,-
Chart_2,102,-,-,-,-
Chart_2,104,-,-,-,-
Chart_2,106,119,60,120,-
Chart_2,108,119,60,119,-
Chart_2,110,-,-,-,-
Chart_2,112,-,-,-,-
Chart_2,114,-,-,-,-
Chart_2,116,-,-,-,-
Chart_2,118,120,61,120,-
Chart_2,120,136,66,137,-
Chart_2,122,-,-,-,-
Chart_2,124,-,-,-,-
Chart_2,126,117,58,118,-
Chart_2,128,117,59,118,-
Chart_2,130,-,-,-,-
Chart_2,132,129,59,130,-
Chart_2,134,-,-,-,-
Chart_2,136,-,-,-,-
Chart_2,138,116,57,116,-
Chart_2,140,-,-,-,-
Chart_2,142,116,56,116,-
Chart_2,144,115,56,115,-
Chart_2,146,129,58,129,-
Chart_2,148,122,56,123,-
Chart_2,150,-,-,-,-
Chart_2,152,-,-,-,-
Chart_2,154,-,-,-,-
Chart_2,156,-,-,-,-
Chart_2,158,-,-,-,-
Chart_2,160,114,55,114,-
