bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_54,2,-,-,-,-,-
Math_54,4,-,-,-,-,-
Math_54,6,-,-,-,-,-
Math_54,8,10 14,1151 22319,-,10027,-
Math_54,10,1 0,7817 1479,5648,5772,-
Math_54,12,-,-,-,-,-
Math_54,14,2 3,1151 20721,5368,5376,-
Math_54,16,-,-,-,-,-
Math_54,18,3 5,1151 22338,5403,5413,-
Math_54,20,-,-,-,-,-
Math_54,22,2 4,1151 22341,5437,5447,-
Math_54,24,2 3,1151 22343,6892,6898,-
Math_54,26,-,-,-,-,-
Math_54,28,2 1,7830 1479,5358,5363,-
Math_54,30,2 1,7618 1479,5249,5254,-
Math_54,32,3 4,1151 22326,7087,7096,-
Math_54,34,2 4,1151 22312,-,10007,-
Math_54,36,1 0,7818 1479,4382,4483,-
Math_54,38,2 5,1151 22308,4088,4098,-
Math_54,40,-,-,-,-,-
Math_54,42,-,-,-,-,-
Math_54,44,3 5,1151 22326,4149,4159,-
Math_54,46,2 4,1151 22334,4072,4079,-
Math_54,48,2 3,1151 22326,4102,4108,-
Math_54,50,-,-,-,-,-
Math_54,52,2 3,1151 22351,4166,4173,-
Math_54,54,-,-,-,-,-
Math_54,56,2 3,1151 22326,4110,4117,-
Math_54,58,-,-,-,-,-
Math_54,60,3 2,7818 1479,4153,4159,-
Math_54,62,-,-,-,-,-
Math_54,64,2 4,1151 22215,4177,4184,-
Math_54,66,2 4,1151 22278,-,10007,-
Math_54,68,-,-,-,-,-
Math_54,70,-,-,-,-,-
Math_54,72,1 6,1151 22319,4504,4623,-
Math_54,74,2 3,1151 22324,-,10006,-
Math_54,76,-,-,-,-,-
Math_54,78,1 5,1151 22280,-,10120,-
Math_54,80,-,-,-,-,-
Math_54,82,1 4,1151 22361,4405,4510,-
Math_54,84,2 3,1151 21540,4096,4102,-
Math_54,86,2 4,1151 22300,4106,4113,-
Math_54,88,3 2,7805 1479,4047,4054,-
Math_54,90,-,-,-,-,-
Math_54,92,2 3,1151 21995,4035,4041,-
Math_54,94,2 3,1151 22334,4132,4138,-
Math_54,96,-,-,-,-,-
Math_54,98,2 3,1151 22309,36,43,-
Math_54,100,-,-,-,-,-
Math_54,102,-,-,-,-,-
Math_54,104,2 3,1151 22328,-,10007,-
Math_54,106,-,-,-,-,-
Math_54,108,2 0,7830 1479,4447,4561,-
Math_54,110,2 4,1151 22180,5018,5026,-
Math_54,112,2 4,1151 20903,4130,4138,-
Math_54,114,2 4,1151 22328,-,10008,-
Math_54,116,1 6,1151 22331,4404,4515,-
Math_54,118,-,-,-,-,-
Math_54,120,2 1,7818 1479,4076,4081,-
Math_54,122,2 3,1151 22323,-,10006,-
Math_54,124,1 4,1151 22317,4389,4496,-
Math_54,126,2 3,1151 22331,34,40,-
Math_54,128,2 4,1151 22215,4209,4217,-
Math_54,130,2 3,1151 22328,-,10007,-
Math_54,132,2 0,7814 1479,141,246,-
Math_54,134,2 1,7830 1479,10,14,-
Math_54,136,-,-,-,-,-
Math_54,138,-,-,-,-,-
Math_54,140,-,-,-,-,-
Math_54,142,2 1,7740 1479,8,13,-
Math_54,144,-,-,-,-,-
Math_54,146,2 1,7806 1479,7,12,-
Math_54,148,2 4,1151 22320,5,12,-
Math_54,150,-,-,-,-,-
Math_54,152,1 3,1151 22325,7,13,-
Math_54,154,-,-,-,-,-
Math_54,156,-,-,-,-,-
Math_54,158,-,-,-,-,-
Math_54,160,2 1,7805 1479,4,9,-
Math_54,162,-,-,-,-,-
Math_54,164,1 3,1151 22330,6,13,-
Math_54,166,2 1,7597 1479,4,9,-
Math_54,168,2 1,7824 1479,4,9,-
Math_54,170,-,-,-,-,-
Math_54,172,2 3,1151 22328,4,10,-
Math_54,174,2 3,1151 22338,4,10,-
Math_54,176,2 3,1151 22327,4,10,-
Math_54,178,-,-,-,-,-
Math_54,180,2 3,1151 22279,3,10,-
Math_54,182,-,-,-,-,-
Math_54,184,1 3,1151 22338,3,9,-
Math_54,186,2 3,1151 22100,3,10,-
Math_54,188,2 1,7655 1479,4,9,-
Math_54,190,3,9321,4,8,-
Math_54,192,2 3,1151 22332,4,10,-
Math_54,194,2 1,7818 1479,4,9,-
Math_54,196,1 3,1151 22331,4,10,-
Math_54,198,2 3,1151 22351,4,10,-
Math_54,200,2 3,1151 22317,3,10,-
Math_54,202,-,-,-,-,-
Math_54,204,2 3,1151 22208,3,10,-
Math_54,206,2 3,1151 22328,3,10,-
Math_54,208,2 1,7817 1479,4,9,-
Math_54,210,-,-,-,-,-
Math_54,212,2 3,1151 22324,4,10,-
Math_54,214,2 3,1151 22336,4,10,-
Math_54,216,2 3,1151 22303,3,10,-
Math_54,218,2 3,1151 22270,3,10,-
Math_54,220,2 3,1151 22326,3,10,-
Math_54,222,2 1,7826 1479,4,9,-
Math_54,224,2 3,1151 22271,4,10,-
Math_54,226,-,-,-,-,-
Math_54,228,2 3,1151 22329,4,10,-
Math_54,230,-,-,-,-,-
Math_54,232,-,-,-,-,-
Math_54,234,-,-,-,-,-
Math_54,236,-,-,-,-,-
Math_54,238,2 3,1151 22329,3,10,-
Math_54,240,-,-,-,-,-
Math_54,242,2 3,1151 22334,3,10,-
Math_54,244,2 1,7826 1479,3,9,-
Math_54,246,2 1,7810 1479,4,9,-
Math_54,248,2 3,1151 22331,4,10,-
Math_54,250,-,-,-,-,-
Math_54,252,2 3,1151 22331,4,11,-
Math_54,254,2 3,1151 22316,3,10,-
Math_54,256,2 3,1151 22345,4,10,-
Math_54,258,2 4,1151 22309,3,11,-
Math_54,260,3 1,7653 1479,4,10,-
Math_54,262,-,-,-,-,-
Math_54,264,2 1,7805 1479,4,9,-
Math_54,266,-,-,-,-,-
Math_54,268,2 3,1151 20186,3,10,-
Math_54,270,2 1,7799 1479,3,8,-
Math_54,272,-,-,-,-,-
Math_54,274,2 3,1151 22327,3,10,-
Math_54,276,2 3,1151 22332,3,10,-
Math_54,278,2 3,1151 22311,3,9,-
Math_54,280,2 3,1151 20698,2,9,-
Math_54,282,-,-,-,-,-
Math_54,284,-,-,-,-,-
Math_54,286,2 3,1151 22334,3,10,-
Math_54,288,2 3,1151 22324,2,9,-
Math_54,290,2 4,1151 21447,3,11,-
Math_54,292,2 3,1151 22325,3,10,-
Math_54,294,-,-,-,-,-
Math_54,296,-,-,-,-,-
Math_54,298,2 1,7823 1479,3,8,-
Math_54,300,-,-,-,-,-
Math_54,302,-,-,-,-,-
Math_54,304,-,-,-,-,-
Math_54,306,2 3,1151 22253,3,10,-
Math_54,308,2 1,7814 1479,3,8,-
Math_54,310,2 3,1151 22350,3,10,-
Math_54,312,2 1,7852 1479,3,9,-
Math_54,314,2 3,1151 22321,3,10,-
Math_54,316,2 3,1151 22273,3,11,-
Math_54,318,-,-,-,-,-
Math_54,320,2 4,1151 20962,3,11,-
Math_54,322,3 3,1151 22320,3,10,-
Math_54,324,2 3,1151 22338,3,10,-
Math_54,326,2 5,1151 22318,3,11,-
