bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_96,2,329,128,330,-
Math_96,4,219,69,220,-
Math_96,6,-,-,-,-
Math_96,8,313,66,314,-
Math_96,10,-,-,-,-
Math_96,12,264,69,265,-
Math_96,14,236,70,237,-
Math_96,18,-,-,-,-
Math_96,20,276,76,276,-
Math_96,22,-,-,-,-
Math_96,24,341,79,341,-
Math_96,30,262,73,263,-
Math_96,32,237,65,238,-
Math_96,36,242,97,243,-
Math_96,38,-,-,-,-
Math_96,40,391,71,392,-
Math_96,42,346,85,347,-
Math_96,44,297,73,298,-
Math_96,46,-,-,-,-
Math_96,48,279,67,279,-
Math_96,52,-,-,-,-
Math_96,56,221,64,222,-
Math_96,58,186,62,186,-
Math_96,60,-,-,-,-
Math_96,62,233,71,234,-
Math_96,64,238,66,239,-
Math_96,68,264,70,265,-
Math_96,70,291,67,292,-
Math_96,72,-,-,-,-
Math_96,74,250,81,251,-
Math_96,76,-,-,-,-
Math_96,78,-,-,-,-
Math_96,80,193,64,194,-
Math_96,82,-,-,-,-
Math_96,84,251,97,251,-
Math_96,86,-,-,-,-
Math_96,88,-,-,-,-
Math_96,92,-,-,-,-
Math_96,96,242,82,242,-
Math_96,98,233,67,233,-
Math_96,100,197,66,198,-
Math_96,104,-,-,-,-
Math_96,110,-,-,-,-
Math_96,112,210,71,211,-
Math_96,114,236,82,236,-
Math_96,118,268,66,269,-
Math_96,120,-,-,-,-
Math_96,124,-,-,-,-
Math_96,126,-,-,-,-
Math_96,132,-,-,-,-
Math_96,134,-,-,-,-
Math_96,138,-,-,-,-
Math_96,140,277,65,278,-
Math_96,142,240,67,240,-
Math_96,144,213,63,214,-
Math_96,146,-,-,-,-
Math_96,150,217,72,218,-
Math_96,152,281,74,281,-
Math_96,158,-,-,-,-
Math_96,162,-,-,-,-
Math_96,164,196,67,197,-
Math_96,170,213,63,213,-
Math_96,174,-,-,-,-
Math_96,180,-,-,-,-
Math_96,184,-,-,-,-
Math_96,186,-,-,-,-
Math_96,188,-,-,-,-
Math_96,190,-,-,-,-
Math_96,192,-,-,-,-
Math_96,196,249,68,250,-
Math_96,198,-,-,-,-
Math_96,202,-,-,-,-
Math_96,204,217,65,218,-
Math_96,206,-,-,-,-
Math_96,208,-,-,-,-
Math_96,210,269,69,269,-
Math_96,214,285,71,286,-
Math_96,216,-,-,-,-
Math_96,218,-,-,-,-
Math_96,222,243,68,244,-
Math_96,224,-,-,-,-
Math_96,226,208,63,208,-
Math_96,230,-,-,-,-
Math_96,232,-,-,-,-
Math_96,234,286,67,286,-
Math_96,236,-,-,-,-
Math_96,240,-,-,-,-
Math_96,242,-,-,-,-
Math_96,244,320,68,321,-
Math_96,250,214,63,215,-
Math_96,254,-,-,-,-
Math_96,256,247,74,248,-
Math_96,258,207,63,208,-
Math_96,260,-,-,-,-
Math_96,262,-,-,-,-
Math_96,266,-,-,-,-
Math_96,268,281,69,281,-
Math_96,272,268,84,269,-
Math_96,274,-,-,-,-
Math_96,276,231,90,231,-
Math_96,278,-,-,-,-
Math_96,284,236,82,236,-
Math_96,286,264,79,264,-
Math_96,290,-,-,-,-
Math_96,292,-,-,-,-
Math_96,294,296,96,296,-
Math_96,296,254,89,255,-
Math_96,300,-,-,-,-
Math_96,302,260,81,260,-
Math_96,304,-,-,-,-
Math_96,306,250,82,250,-
Math_96,308,-,-,-,-
Math_96,310,304,100,305,-
Math_96,312,-,-,-,-
Math_96,316,-,-,-,-
Math_96,320,270,97,271,-
Math_96,322,314,82,314,-
Math_96,324,-,-,-,-
Math_96,330,-,-,-,-
Math_96,332,310,87,311,-
Math_96,336,216,76,217,-
Math_96,338,-,-,-,-
Math_96,340,232,73,232,-
Math_96,342,235,73,235,-
Math_96,348,253,87,253,-
Math_96,352,225,71,225,-
Math_96,354,248,77,248,-
Math_96,360,258,72,258,-
Math_96,364,-,-,-,-
Math_96,368,287,72,287,-
Math_96,370,270,75,271,-
Math_96,372,241,72,241,-
Math_96,376,338,76,339,-
Math_96,378,-,-,-,-
Math_96,380,-,-,-,-
Math_96,382,-,-,-,-
Math_96,386,-,-,-,-
Math_96,388,-,-,-,-
Math_96,390,229,78,229,-
Math_96,392,222,78,223,-
Math_96,394,293,69,294,-
Math_96,396,-,-,-,-
Math_96,398,202,66,202,-
Math_96,400,-,-,-,-
