bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_20,2,-,-,-,-
Time_20,4,312,211,313,-
Time_20,6,-,-,-,-
Time_20,8,-,-,-,-
Time_20,10,404,210,404,-
Time_20,12,313,197,313,-
Time_20,14,517,242,518,-
Time_20,16,382,221,383,-
Time_20,18,-,-,-,-
Time_20,20,-,-,-,-
Time_20,22,369,213,370,-
Time_20,24,408,229,409,-
Time_20,26,-,-,-,-
Time_20,28,372,247,373,-
Time_20,30,337,209,337,-
Time_20,32,-,-,-,-
Time_20,34,291,190,292,-
Time_20,36,-,-,-,-
Time_20,38,-,-,-,-
Time_20,40,444,220,444,-
Time_20,42,349,191,350,-
Time_20,44,424,251,425,-
Time_20,46,-,-,-,-
Time_20,48,-,-,-,-
Time_20,50,-,-,-,-
Time_20,52,-,-,-,-
Time_20,54,-,-,-,-
Time_20,56,-,-,-,-
Time_20,58,308,215,309,-
Time_20,60,365,207,366,-
Time_20,62,361,212,361,-
Time_20,64,-,-,-,-
Time_20,66,352,210,353,-
Time_20,68,394,222,394,-
Time_20,70,-,-,-,-
Time_20,72,343,208,344,-
Time_20,74,-,-,-,-
Time_20,76,-,-,-,-
Time_20,78,-,-,-,-
Time_20,80,-,-,-,-
Time_20,82,305,202,308,-
Time_20,84,514,273,515,-
Time_20,86,325,207,325,-
Time_20,88,413,233,414,-
Time_20,90,360,213,360,-
Time_20,92,-,-,-,-
Time_20,94,320,210,321,-
Time_20,96,-,-,-,-
Time_20,98,355,236,355,-
Time_20,100,-,-,-,-
Time_20,102,451,211,452,-
Time_20,104,331,205,332,-
Time_20,106,-,-,-,-
Time_20,108,-,-,-,-
Time_20,110,-,-,-,-
Time_20,112,-,-,-,-
Time_20,114,-,-,-,-
Time_20,116,418,212,418,-
Time_20,118,346,203,347,-
Time_20,120,-,-,-,-
Time_20,122,-,-,-,-
Time_20,124,-,-,-,-
Time_20,126,-,-,-,-
Time_20,128,-,-,-,-
Time_20,130,-,-,-,-
Time_20,132,-,-,-,-
Time_20,134,339,211,340,-
Time_20,136,-,-,-,-
Time_20,138,-,-,-,-
Time_20,140,-,-,-,-
Time_20,142,-,-,-,-
Time_20,144,432,210,433,-
Time_20,146,393,238,394,-
Time_20,148,346,224,347,-
Time_20,150,349,193,350,-
Time_20,152,396,213,398,-
Time_20,154,-,-,-,-
Time_20,156,357,214,358,-
Time_20,158,327,206,328,-
Time_20,160,309,207,310,-
Time_20,162,354,237,354,-
Time_20,164,-,-,-,-
Time_20,166,388,246,389,-
Time_20,168,407,276,407,-
Time_20,170,388,266,389,-
Time_20,172,358,204,358,-
Time_20,174,-,-,-,-
Time_20,176,-,-,-,-
Time_20,178,309,209,310,-
Time_20,180,381,237,382,-
Time_20,182,348,212,349,-
Time_20,184,-,-,-,-
Time_20,186,340,211,340,-
Time_20,188,324,206,327,-
Time_20,190,-,-,-,-
Time_20,192,353,241,354,-
Time_20,194,344,234,345,-
Time_20,196,311,210,312,-
Time_20,198,-,-,-,-
Time_20,200,-,-,-,-
Time_20,202,-,-,-,-
Time_20,204,400,211,400,-
Time_20,206,388,262,388,-
Time_20,208,395,233,396,-
Time_20,210,-,-,-,-
Time_20,212,-,-,-,-
Time_20,214,-,-,-,-
Time_20,216,334,231,335,-
Time_20,218,-,-,-,-
Time_20,220,-,-,-,-
Time_20,222,466,208,467,-
Time_20,224,374,209,375,-
Time_20,226,-,-,-,-
Time_20,228,325,206,325,-
Time_20,230,-,-,-,-
Time_20,232,414,232,414,-
Time_20,234,-,-,-,-
Time_20,236,-,-,-,-
Time_20,238,-,-,-,-
Time_20,240,323,231,323,-
Time_20,242,-,-,-,-
Time_20,244,-,-,-,-
Time_20,246,392,236,392,-
Time_20,248,362,206,363,-
Time_20,250,-,-,-,-
Time_20,252,359,213,359,-
Time_20,254,-,-,-,-
Time_20,256,-,-,-,-
Time_20,258,398,243,398,-
