bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_2,2,-,-,-,-,-
Time_2,4,17 13 12,13740 1039 891,24,69,-
Time_2,6,-,-,-,-,-
Time_2,8,8,1370,31,41,-
Time_2,10,10 8 8,13759 1039 891,30,59,-
Time_2,12,-,-,-,-,-
Time_2,14,9 8 8,8376 3676 812,31,59,-
Time_2,16,12 11 10,8362 3676 812,20,56,-
Time_2,18,-,-,-,-,-
Time_2,20,12 11 8,13783 1039 891,21,56,-
Time_2,22,11 11 9 9 10 9 9 9 9 8 8 7 7 7 7,2309 4729 3494 1776 12610 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,30,171,-
Time_2,24,-,-,-,-,-
Time_2,26,9 8 8,8072 3676 812,29,56,-
Time_2,28,9 8 8 8 8 8 9 7,4049 4427 1526 1708 2295 7309 8941 3321,21,93,-
Time_2,30,11 11 11 9 8 8 9 8,4049 4427 1526 1708 2295 7309 8688 3321,28,110,-
Time_2,32,-,-,-,-,-
Time_2,34,-,-,-,-,-
Time_2,36,9 8 8,13783 1039 891,35,63,-
Time_2,38,-,-,-,-,-
Time_2,40,-,-,-,-,-
Time_2,42,9 8 8,8270 3676 812,53,82,-
Time_2,44,-,-,-,-,-
Time_2,46,-,-,-,-,-
Time_2,48,10 10 9 9 9 9 9 9 9 9 9 9 9 8 9,2309 4729 3494 1776 12636 3067 1803 1709 4096 2210 3820 5452 5154 916 1499,22,166,-
Time_2,50,10 8 8 8 8,508 6873 509 243 566,30,76,-
Time_2,52,-,-,-,-,-
Time_2,54,10 9 8,13792 1039 891,22,52,-
Time_2,56,10 8 8 8 8 8 8 8,4049 4427 1526 1708 2295 7309 8718 3321,20,92,-
Time_2,58,-,-,-,-,-
Time_2,60,-,-,-,-,-
Time_2,62,9 8 8 8 9 8 8 8 8 8 8 8 8 8 8,2309 4729 3494 1776 12620 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,20,150,-
Time_2,64,-,-,-,-,-
Time_2,66,9,3913,20,30,-
Time_2,68,10 8 8,8160 3548 812,18,47,-
Time_2,70,9 8 8 8 11 8 8 8 8 8 10 9 8 8 8,2309 4729 3494 1776 12517 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,19,160,-
Time_2,72,-,-,-,-,-
Time_2,74,9 8 8 8 9 8 8 8 8 8 8 8 8 8 8,2309 4729 3494 1776 12636 3067 1790 1709 4161 2210 3820 5452 5154 916 1499,20,151,-
Time_2,76,-,-,-,-,-
Time_2,78,10 9 8,8357 3676 812,21,51,-
Time_2,80,-,-,-,-,-
Time_2,82,11 9 9,13786 1039 891,21,52,-
Time_2,84,10 9 9,8270 3676 812,20,51,-
Time_2,86,-,-,-,-,-
Time_2,88,10 9 8,8361 3676 812,18,47,-
Time_2,90,10,2341,18,30,-
Time_2,92,10 9 8,8365 3676 812,-,10032,-
Time_2,94,-,-,-,-,-
Time_2,96,-,-,-,-,-
Time_2,98,2 0 0,8369 3676 812,222,329,-
Time_2,100,3 2 2,13795 1039 891,56,67,-
Time_2,102,5 4 4,13793 1039 891,46,61,-
Time_2,104,-,-,-,-,-
Time_2,106,4 3 3,8362 3676 812,30,43,-
Time_2,108,5 3 3,8320 3676 812,28,43,-
Time_2,110,-,-,-,-,-
Time_2,112,-,-,-,-,-
Time_2,114,-,-,-,-,-
Time_2,116,4 3 3,8344 3676 812,33,47,-
Time_2,118,5 4 3,8346 3676 812,32,47,-
Time_2,120,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2309 4729 3494 1776 12636 3067 1803 1709 4103 2210 3820 5452 5154 916 1499,27,96,-
Time_2,122,-,-,-,-,-
Time_2,124,5 4 3,13781 1039 891,38,53,-
Time_2,126,5 4 3,13646 1039 891,27,41,-
Time_2,128,-,-,-,-,-
Time_2,130,-,-,-,-,-
Time_2,132,6 4 4,13781 1039 891,27,43,-
Time_2,134,5,2348,34,41,-
Time_2,136,7 6 6,13792 1039 891,25,46,-
Time_2,138,6 5 5,8369 3679 812,25,43,-
Time_2,140,6 4 4,13786 1039 891,34,51,-
Time_2,142,-,-,-,-,-
Time_2,144,6 5 4,8304 3676 812,52,69,-
Time_2,146,7 5 6,13759 1039 891,31,52,-
Time_2,148,-,-,-,-,-
Time_2,150,-,-,-,-,-
Time_2,152,6 5 5,8373 3676 812,31,49,-
Time_2,154,-,-,-,-,-
Time_2,156,7 5 5,8309 3676 812,22,41,-
Time_2,158,-,-,-,-,-
Time_2,160,-,-,-,-,-
Time_2,162,-,-,-,-,-
Time_2,164,-,-,-,-,-
Time_2,166,-,-,-,-,-
Time_2,168,-,-,-,-,-
Time_2,170,7 5 5,8279 3676 812,26,47,-
Time_2,172,7 5 5,8300 3676 812,24,44,-
Time_2,174,7 6 5 5 6 5 5 5 6 5 5 5 5 5 5,2309 4729 3494 1776 12487 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,25,116,-
Time_2,176,7 5 5,13782 1039 891,21,40,-
Time_2,178,6,1370,19,27,-
Time_2,180,-,-,-,-,-
Time_2,182,2 0 0,8369 3251 812,198,304,-
Time_2,184,3 2 2 2 3 2 2 2 2 2 2 2 2 2 2,2309 4729 3494 1776 12487 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,65,107,-
Time_2,186,-,-,-,-,-
Time_2,188,-,-,-,-,-
Time_2,190,-,-,-,-,-
Time_2,192,-,-,-,-,-
Time_2,194,-,-,-,-,-
Time_2,196,3 3,1203 2667,49,57,-
Time_2,198,-,-,-,-,-
Time_2,200,4,3724,33,39,-
Time_2,202,4 4 3,8350 3676 812,40,54,-
Time_2,204,4,4218,35,41,-
Time_2,206,5 4 4,13796 1039 891,28,42,-
Time_2,208,5 4 4,8358 3676 812,33,48,-
Time_2,210,5,2449,33,39,-
Time_2,212,7 6 5,8369 3629 812,28,48,-
Time_2,214,7 6 5,8344 3676 812,30,51,-
Time_2,216,5,4219,24,31,-
Time_2,218,5 4,1215 2667,23,35,-
Time_2,220,6 5 4,8361 3676 812,28,45,-
Time_2,222,5,1370,22,29,-
Time_2,224,6 5 5,8300 3676 812,51,70,-
Time_2,226,-,-,-,-,-
Time_2,228,7 7 6,8344 3676 812,24,46,-
Time_2,230,-,-,-,-,-
Time_2,232,8 6 6,13781 1039 891,24,46,-
Time_2,234,7 7 6,8357 3676 812,22,45,-
Time_2,236,8 6 6,13781 1039 891,25,48,-
Time_2,238,7 6,1203 2667,32,47,-
Time_2,240,-,-,-,-,-
Time_2,242,-,-,-,-,-
Time_2,244,7 7 7 6 7 6 6 6 6 6 6 6 6 5 6,2309 4729 3494 1776 12517 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,20,122,-
Time_2,246,-,-,-,-,-
Time_2,248,-,-,-,-,-
Time_2,250,8 6 6,13792 1039 891,31,52,-
Time_2,252,-,-,-,-,-
Time_2,254,7 6,1203 2667,22,37,-
Time_2,256,-,-,-,-,-
Time_2,258,-,-,-,-,-
Time_2,260,-,-,-,-,-
Time_2,262,-,-,-,-,-
Time_2,264,-,-,-,-,-
Time_2,266,8 6 6,8361 3676 812,27,50,-
Time_2,268,7 7 7 7 7 6 6 6 6 6 6 6 6 6 6,2309 4729 3494 1776 12623 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,18,123,-
Time_2,270,11 7 7,13786 1039 891,22,50,-
Time_2,272,8 6 6,13795 1039 891,27,49,-
Time_2,274,9 6 6,13740 1039 891,19,42,-
Time_2,276,-,-,-,-,-
Time_2,278,8 6 6,13792 1039 891,20,43,-
Time_2,280,-,-,-,-,-
Time_2,282,7 6 6,8365 3676 812,19,41,-
Time_2,284,-,-,-,-,-
Time_2,286,7 6 6,8369 3640 812,19,41,-
Time_2,288,-,-,-,-,-
Time_2,290,-,-,-,-,-
Time_2,292,-,-,-,-,-
Time_2,294,8,2341,21,30,-
Time_2,296,8 7 6 6 7 6 6 6 6 6 6 6 6 6 6,2309 4729 3494 1776 12623 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,18,125,-
Time_2,298,-,-,-,-,-
Time_2,300,7 7 6 6 9 7 6 6 7 7 7 7 7 6 6,2309 4729 3494 1776 12487 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,23,134,-
Time_2,302,8 6 6,13782 1039 891,22,44,-
Time_2,304,-,-,-,-,-
Time_2,306,-,-,-,-,-
Time_2,308,8,10533,25,35,-
Time_2,310,-,-,-,-,-
Time_2,312,-,-,-,-,-
Time_2,314,-,-,-,-,-
Time_2,316,8,4219,19,28,-
Time_2,318,-,-,-,-,-
Time_2,320,8 7 7 6 7 6 6 6 6 6 6 6 6 6 6,2309 4729 3494 1776 12636 3054 1803 1709 4161 2210 3820 5452 5154 916 1499,20,127,-
Time_2,322,8 6 6,13782 1039 891,22,45,-
Time_2,324,8 6 6,13792 1039 891,24,47,-
Time_2,326,8 7 6,8291 3676 812,19,43,-
Time_2,328,8 6 6,13813 1039 891,19,42,-
Time_2,330,9 7 7,13792 1039 891,25,50,-
Time_2,332,8 7 6,8361 3676 812,23,47,-
Time_2,334,-,-,-,-,-
Time_2,336,8 7 6,8369 3251 812,19,43,-
Time_2,338,-,-,-,-,-
Time_2,340,8 8 7 8 9 7 7 6 6 6 6 7 6 6 6,2309 4729 3494 1776 12517 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,17,133,-
Time_2,342,-,-,-,-,-
Time_2,344,8 7 6 6 7 6 6 6 6 6 6 6 6 6 6,2309 4729 3494 1776 12636 2920 1803 1709 4161 2210 3820 5452 5154 916 1499,25,132,-
Time_2,346,8 7 6,13781 1039 891,25,49,-
Time_2,348,8 6 6,13792 1039 891,27,50,-
Time_2,350,-,-,-,-,-
Time_2,352,-,-,-,-,-
Time_2,354,8 7,1151 2667,22,39,-
