id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,57,true,208,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,6917,8,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
4,101,true,524,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,4,5206,11,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
6,120,false,,,,,,,,,,,,,,
8,91,true,202,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,7125,7,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
10,91,false,,,,,,,,,,,,,,
12,76,true,321,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,3942,7,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
14,90,true,198,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,7176,13,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
16,34,false,,,,,,,,,,,,,,
18,47,true,242,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,7138,9,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
20,33,true,298,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,4,7105,16,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
24,76,true,222,false,1,[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): null-],,,3,7074,5,false,1,[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): null-],,
26,26,true,220,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,7132,7,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
28,22,true,240,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,4,7293,14,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
30,30,false,,,,,,,,,,,,,,
32,25,true,231,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,7120,14,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
34,30,true,248,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,6868,6,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
36,15,false,,,,,,,,,,,,,,
38,12,false,,,,,,,,,,,,,,
40,30,true,241,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,4,7121,9,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
42,13,true,247,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,6881,6,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
44,40,true,232,false,1,[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): null-],,,3,6875,6,false,1,[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): null-],,
46,13,false,,,,,,,,,,,,,,
48,21,false,,,,,,,,,,,,,,
50,51,true,364,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,4,6835,6,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
52,12,true,179,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,,3,6868,6,false,1,"[testSizingWithWidthConstraint(org.jfree.chart.block.junit.BorderArrangementTests): Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).-]",,
54,16,true,298,true,,,9101,true,4,7095,6,true,,,5582,
