id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,13,false,,,,,,,,,,,,,,
4,11,false,,,,,,,,,,,,,,
8,12,true,232,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,,3,2097,9,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,
10,27,true,234,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction diverged to NaN for value ∞-],,,5,38233,11,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction diverged to NaN for value ∞-],,
12,12,true,213,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,,3,2097,7,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,
14,17,true,237,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,,3,2063,7,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,
16,13,false,,,,,,,,,,,,,,
18,12,true,232,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,,3,2090,7,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,
20,17,true,179,false,5,"[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): null-, testQuantiles(org.apache.commons.math.distribution.NormalDistributionTest): Incorrect cumulative probability value returned for -0.6999999999999997 expected:<0.02275013194817921> but was:<0.21068461464402732>-, testMath280(org.apache.commons.math.distribution.NormalDistributionTest): expected:<3.0> but was:<27.19925329920861>-, testInverseCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): Incorrect inverse cumulative probability value returned for 0.001 expected:<-2.226325228634938> but was:<-42.14978987997862>-, testCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): Incorrect cumulative probability value returned for -2.226325228634938 expected:<0.001> but was:<0.09610680433197938>-]",,,6,3161,9,false,5,"[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): null-, testQuantiles(org.apache.commons.math.distribution.NormalDistributionTest): Incorrect cumulative probability value returned for -0.6999999999999997 expected:<0.02275013194817921> but was:<0.21068461464402732>-, testMath280(org.apache.commons.math.distribution.NormalDistributionTest): expected:<3.0> but was:<27.19925329920861>-, testInverseCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): Incorrect inverse cumulative probability value returned for 0.001 expected:<-2.226325228634938> but was:<-42.14978987997862>-, testCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): Incorrect cumulative probability value returned for -2.226325228634938 expected:<0.001> but was:<0.09610680433197938>-]",,
22,10,false,,,,,,,,,,,,,,
24,12,true,204,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction diverged to NaN for value ∞-],,,3,2110,8,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction diverged to NaN for value ∞-],,
26,9,true,205,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction diverged to NaN for value ∞-],,,3,2005,7,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction diverged to NaN for value ∞-],,
28,9,false,,,,,,,,,,,,,,
30,8,true,208,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,,3,2097,7,false,1,[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): Continued fraction convergents diverged to +/- infinity for value ∞-],,
32,12,true,192,false,6,"[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): null-, testQuantiles(org.apache.commons.math.distribution.NormalDistributionTest): null-, testMath280(org.apache.commons.math.distribution.NormalDistributionTest): null-, testInverseCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): null-, testCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): null-, testConsistency(org.apache.commons.math.distribution.NormalDistributionTest): null-]",,,4,2453,16,false,6,"[testExtremeValues(org.apache.commons.math.distribution.NormalDistributionTest): null-, testQuantiles(org.apache.commons.math.distribution.NormalDistributionTest): null-, testMath280(org.apache.commons.math.distribution.NormalDistributionTest): null-, testInverseCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): null-, testCumulativeProbabilities(org.apache.commons.math.distribution.NormalDistributionTest): null-, testConsistency(org.apache.commons.math.distribution.NormalDistributionTest): null-]",,
34,7,false,,,,,,,,,,,,,,
36,8,false,,,,,,,,,,,,,,
