bug_id,avg_process_failing_time,avg_hotswap_failing_time,avg_hotswap_time,avg_process_regression_time,avg_hotswap_regression_time,regular_count,process_timeout_count,hotswap_timeout_count
Math_1,213,18,12,,,15594,0,0
Math_2,182,37,23,177447,153599,6194,0,0
Math_3,166,58,48,,,22372,0,0
Math_4,129,18,14,,,3254,0,0
Math_5,164,28,24,187042,170413,4683,0,0
Math_6,2417,1883,6,,,944,30,28
Math_7,208,30,3,193513,195319,2048,84,84
Math_8,203,89,39,225662,209671,94,0,0
Math_9,123,14,11,,,31603,0,0
Math_10,1244,593,14,,,2231,0,0
Math_11,401,183,20,,,6400,0,0
Math_12,806,132,21,219984,200729,589,2,2
Math_13,4582,3992,1,,,810,6,7
Math_14,1534,1219,38,,,2501,0,0
Math_15,4965,4538,5,174911,174527,298,16,18
Math_16,5334,4878,2,,,545,30,33
Math_17,470,23,5,,,7230,179,46
Math_18,2823,2534,4,,,990,22,17
Math_19,3010,2858,7,,,850,2,5
Math_20,3010,2889,14,178198,173158,535,11,13
Math_21,138,11,8,,,294,0,0
Math_22,391,33,8,,,15045,0,0
Math_23,162,9,0,,,14761,184,184
Math_24,191,23,15,180556,164550,458,4,4
Math_25,151,24,14,,,4310,0,0
Math_26,129,50,3,,,652,0,0
Math_27,144,17,12,,,27363,0,0
Math_28,234,55,8,168834,161154,241,10,10
Math_29,351,149,2,,,1860,124,124
Math_30,145,18,6,172305,167303,1761,0,0
Math_31,293,56,0,,,1386,127,127
Math_32,201,38,4,163164,158687,1514,31,31
Math_33,280,46,1,,,7881,43,43
Math_34,146,11,9,,,35600,0,0
Math_35,110,11,9,,,5936,0,0
Math_36,153,9,1,,,18811,131,131
Math_37,184,29,21,,,4897,0,0
Math_38,2685,2773,13,,,1143,0,0
Math_39,196,46,2,,,2411,194,194
Math_40,210,58,1,421036,420936,266,20,20
Math_41,133,10,6,,,4,0,0
Math_42,249,39,3,124538,121580,6920,29,29
Math_43,164,12,6,,,121,0,0
Math_44,136,9,7,,,3461,47,0
Math_45,123,10,8,,,4367,0,0
Math_46,202,11,6,,,18602,0,0
Math_47,202,11,6,,,17757,0,0
Math_48,189,41,1,,,4556,275,275
Math_49,210,20,9,86268,83154,1987,13,13
Math_50,168,37,10,86482,81276,322,0,0
Math_51,191,33,0,,,4740,269,269
Math_52,286,68,15,,,6925,0,1
Math_53,198,16,11,70109,64195,4415,0,0
Math_54,663,10,5,,,2935,437,1
Math_55,172,8,6,,,16334,0,0
Math_56,154,11,0,71722,71641,1895,77,77
Math_57,,,,,,0,0,0
Math_58,207,45,4,78898,77768,647,43,43
Math_59,5050,4616,1,,,661,30,33
Math_60,214,20,1,16637,15086,4088,195,195
Math_61,381,102,6,,,13272,0,0
Math_62,163,5,0,,,10359,80,80
Math_63,561,225,13,,,8384,0,0
Math_64,248,85,1,,,11825,114,114
Math_65,158,14,1,,,14617,77,77
Math_66,141,22,3,,,11,1,1
Math_67,169,34,0,,,3745,291,291
Math_68,253,88,1,,,11560,114,114
Math_69,149,16,0,,,1487,29,29
Math_70,114,11,9,10240,4378,9570,0,0
Math_71,405,227,1,10687,9175,1164,302,302
Math_72,110,9,7,6658,2149,42630,0,0
Math_73,121,10,9,7409,2161,33077,0,0
Math_74,312,115,2,,,149,46,46
Math_75,130,18,1,,,438,11,11
Math_76,134,9,5,,,8502,0,0
Math_77,158,8,1,,,5648,3,3
Math_78,138,14,13,9606,5235,5215,0,0
Math_79,100,4,2,,,8,0,0
Math_80,218,60,7,8537,6747,3690,125,125
Math_81,219,68,6,8533,7224,2366,175,175
Math_82,182,23,2,6560,4629,10537,126,126
Math_83,187,23,1,,,11145,153,153
Math_84,174,25,0,8073,7863,3396,316,316
Math_85,190,23,2,7536,5463,3509,218,218
Math_86,147,16,13,,,436,0,0
Math_87,194,21,1,,,10868,134,134
Math_88,193,21,1,,,13034,95,95
Math_89,148,8,6,,,36506,0,0
Math_90,143,10,6,,,35779,0,0
Math_91,168,92,1,,,365,363,342
Math_92,155,14,4,,,20970,0,0
Math_93,149,11,5,,,13452,0,0
Math_94,150,151,1,,,53,357,357
Math_95,149,47,0,6997,5858,4754,223,229
Math_96,166,8,4,,,16343,0,0
Math_97,113,4,2,,,12657,0,0
Math_98,149,10,5,,,28160,0,0
Math_99,409,289,1,,,608,257,257
Math_100,186,15,0,,,10035,225,225
Math_101,175,11,4,,,14959,0,0
Math_102,157,26,0,,,1651,159,159
Math_103,243,135,0,,,12857,0,148
Math_104,594,499,0,5361,4989,2634,207,207
Math_105,144,4,2,,,41582,0,0
Math_106,126,22,0,,,1862,217,210
Chart_1,158,19,16,6848,3725,13422,0,0
Chart_2,168,6,3,,,25432,0,0
Chart_3,163,13,8,6971,3888,25915,0,0
Chart_4,875,47,8,,,5070,0,0
Chart_5,142,9,5,7474,4364,25778,0,0
Chart_6,118,7,5,6478,3900,42421,0,0
Chart_7,137,10,7,6211,3774,33058,0,0
Chart_8,,,,,,0,0,0
Chart_9,162,9,5,6375,3865,30994,0,0
Chart_10,92,6,5,,,56420,0,0
Chart_11,106,8,6,,,46921,0,0
Chart_12,362,11,7,,,15548,0,0
Chart_13,193,10,8,8856,5120,8076,0,0
Chart_14,708,47,12,,,6231,0,0
Chart_15,306,9,5,7222,4513,10464,3,3
Chart_16,160,6,3,,,35990,0,0
Chart_17,175,10,4,,,31207,0,0
Chart_18,153,8,4,,,36639,0,0
Chart_19,418,22,7,,,10717,0,0
Chart_20,140,8,5,,,26796,0,0
Chart_21,120,9,6,6242,3607,21187,0,0
Chart_22,109,5,3,,,48435,0,0
Chart_23,300,20,2,,,17930,0,0
Chart_24,134,7,6,,,41593,0,0
Chart_25,312,16,8,6240,3669,5479,0,0
Chart_26,628,42,6,6078,3714,5890,2,2
Lang_1,134,35,30,,,4511,0,0
Lang_2,117,31,28,,,4416,0,0
Lang_3,135,36,31,,,4311,0,0
Lang_4,87,30,28,,,4353,0,0
Lang_5,110,34,31,,,4716,0,0
Lang_6,234,41,30,,,4282,0,0
Lang_7,136,36,31,,,4456,0,0
Lang_8,255,22,3,,,3181,81,81
Lang_9,1733,215,9,,,1631,54,25
Lang_10,2237,313,9,,,1568,39,23
Lang_11,117,33,30,,,4392,0,0
Lang_12,117,34,31,,,4374,0,0
Lang_13,156,39,35,,,4386,0,0
Lang_14,119,11,8,,,5719,0,0
Lang_15,145,14,9,,,5120,0,0
Lang_16,151,12,8,,,4642,0,0
Lang_17,354,87,7,,,4480,0,0
Lang_18,169,11,8,,,5333,0,0
Lang_19,102,9,7,,,4645,0,0
Lang_20,227,14,7,,,5417,0,0
Lang_21,228,19,12,,,1031,0,0
Lang_22,170,60,17,,,3300,0,0
Lang_23,1170,88,15,,,877,0,0
Lang_24,130,12,8,,,375,0,0
Lang_25,102,10,8,,,375,0,0
Lang_26,161,14,11,,,781,0,0
Lang_27,153,11,7,,,339,0,0
Lang_28,101,11,9,,,433,0,0
Lang_29,104,11,8,,,433,0,0
Lang_30,139,15,12,,,4059,0,0
Lang_31,136,14,11,,,1680,0,0
Lang_32,158,7,3,,,31,0,0
Lang_33,283,10,4,,,31,0,0
Lang_34,245,14,3,,,31,0,0
Lang_35,130,13,10,,,354,0,0
Lang_36,164,12,7,,,64,0,0
Lang_37,124,23,21,,,2421,0,0
Lang_38,190,23,20,,,2938,0,0
Lang_39,335,29,21,,,2417,0,0
Lang_40,123,13,10,,,30488,0,0
Lang_41,159,8,5,,,33541,0,0
Lang_42,285,101,33,,,12691,0,0
Lang_43,1115,478,1,10473,9614,148,363,198
