id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,56,true,128,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,
3,44,true,121,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,,2,5836,4,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,
4,35,true,100,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,
5,26,true,116,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,
6,24,true,114,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,
7,18,true,107,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range8.5, 9.5>-]",,
8,30,true,120,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range7.5, 8.5>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range7.5, 8.5>-]",,
9,23,true,119,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,
10,24,true,124,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,,2,5836,5,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range8.5, 9.6> but was:<Range8.6, 9.6>-]",,
11,24,true,131,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range7.5, 8.5>-]",,,2,5836,4,false,1,"[testGetRangeBounds(org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests): expected:<Range7.5, 9.5> but was:<Range7.5, 8.5>-]",,
