id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,45,true,187,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): no escaping expected:<plain text> but was:<null>-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): High unicode was not escaped correctly expected:<&#119650;> but was:<null>-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): expected:<&Beta;> but was:<null>-]",,,2,5980,67,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): no escaping expected:<plain text> but was:<null>-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): High unicode was not escaped correctly expected:<&#119650;> but was:<null>-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): expected:<&Beta;> but was:<null>-]",,
3,30,false,,,,,,,,,,,,,,
4,30,false,,,,,,,,,,,,,,
5,26,false,,,,,,,,,,,,,,
6,22,false,,,,,,,,,,,,,,
7,29,true,262,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): no escaping expected:<plain text> but was:<null>-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): High unicode was not escaped correctly expected:<&#119650;> but was:<null>-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): expected:<&Beta;> but was:<null>-]",,,3,5980,58,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): no escaping expected:<plain text> but was:<null>-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): High unicode was not escaped correctly expected:<&#119650;> but was:<null>-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): expected:<&Beta;> but was:<null>-]",,
8,23,true,205,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-]",,,2,5980,46,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-]",,
9,13,false,,,,,,,,,,,,,,
10,16,false,,,,,,,,,,,,,,
11,20,false,,,,,,,,,,,,,,
12,12,false,,,,,,,,,,,,,,
13,24,true,212,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-]",,,2,5980,44,false,3,"[testEscapeHtml(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlHighUnicode(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-, testEscapeHtmlVersions(org.apache.commons.lang.StringEscapeUtilsTest): The Writer must not be null.-]",,
