id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,43,true,155,false,2,"[testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<1> but was:<3>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-]",,,3,3635,8,false,2,"[testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<1> but was:<3>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-]",,
3,46,true,176,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,,3,3635,7,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,
4,45,true,170,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,,4,3635,7,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,
5,46,true,170,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,,3,3635,6,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,
6,31,true,142,false,1,[testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-],,,4,3635,7,false,1,[testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-],,
7,38,true,175,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,,4,3635,7,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<0.61> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<3.5>-]",,
8,32,true,215,false,1,[testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-],,,3,3635,6,false,1,[testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-],,
9,19,true,141,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<-0.04224> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-]",,,4,3635,7,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<-0.04224> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<1.2246467991473532E-16>-]",,
10,23,true,145,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<-0.04224> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<0.1411200080598672>-]",,,3,3635,5,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<-0.04224> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<0.1411200080598672>-]",,
11,22,true,143,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<-0.04224> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<0.1411200080598672>-]",,,4,3635,7,false,3,"[testBadEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): Expecting IllegalArgumentException - non-bracketing-, testInitialGuess(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<-0.04224> but was:<1.0>-, testRootEndpoints(org.apache.commons.math.analysis.solvers.BrentSolverTest): expected:<3.141592653589793> but was:<0.1411200080598672>-]",,
