id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,15,true,129,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,77,16794,102,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
4,11,false,,,,,,,,,,,,,,
6,10,false,,,,,,,,,,,,,,
8,11,false,,,,,,,,,,,,,,
10,15,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,,,,,,,,
12,13,false,,,,,,,,,,,,,,
14,13,false,,,,,,,,,,,,,,
16,9,false,,,,,,,,,,,,,,
18,9,false,,,,,,,,,,,,,,
20,14,false,,,,,,,,,,,,,,
22,13,false,,,,,,,,,,,,,,
24,9,false,,,,,,,,,,,,,,
26,11,true,126,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,7,16826,231,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
28,9,false,,,,,,,,,,,,,,
30,11,true,126,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,3,16826,17,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
32,13,false,,,,,,,,,,,,,,
34,11,false,,,,,,,,,,,,,,
36,14,true,136,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,41,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
38,9,false,,,,,,,,,,,,,,
40,12,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,18,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
42,10,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,,,,,,,,
44,8,false,,,,,,,,,,,,,,
46,9,true,127,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,7,16818,234,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
48,7,false,,,,,,,,,,,,,,
50,9,true,127,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
52,8,false,,,,,,,,,,,,,,
54,10,true,135,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16794,16,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
56,7,false,,,,,,,,,,,,,,
58,11,true,136,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16794,17,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
60,14,true,130,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,,,,,,,,
62,9,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,7,16794,227,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
64,12,true,135,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
66,9,true,129,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
68,9,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,16,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
70,9,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,3,16818,16,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
72,9,true,128,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,3,16826,18,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
74,9,true,136,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
76,9,true,135,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16794,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
78,11,true,129,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,3,16826,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
80,10,true,127,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,14,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
82,9,true,130,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,3,16826,14,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
84,12,true,126,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,,,,,,,,
86,11,true,136,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,7,16794,225,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
88,11,true,121,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,16,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
90,9,true,124,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,16,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
92,8,false,,,,,,,,,,,,,,
94,9,true,135,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16794,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
96,7,false,,,,,,,,,,,,,,
98,9,true,126,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,3,16826,16,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
100,7,false,,,,,,,,,,,,,,
102,9,true,136,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,18,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
104,8,true,125,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,14,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
106,9,true,132,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16794,15,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
108,9,true,132,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,,,,,,,,
110,9,true,126,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,7,16619,229,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
112,7,false,,,,,,,,,,,,,,
114,7,false,,,,,,,,,,,,,,
116,9,true,127,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,,,,,,,,
118,8,true,124,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,10,16826,230,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
120,8,true,135,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,,2,16826,14,false,1,[testIntegerOverflow(org.apache.commons.math3.fraction.FractionTest): an exception should have been thrown-],,
