id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,40,true,306,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,10,14847,15,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
4,22,true,241,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,2,2127,6,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
6,79,true,228,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,34,51922,39,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
8,22,true,199,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,6,10836,9,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
10,39,true,221,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,8,14825,12,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
12,23,false,,,,,,,,,,,,,,
14,19,true,197,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,5,11434,8,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
16,18,false,,,,,,,,,,,,,,
18,22,false,,,,,,,,,,,,,,
20,9,true,185,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,4,3743,8,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
22,23,true,198,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,5,11430,8,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
24,15,false,,,,,,,,,,,,,,
26,69,true,212,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,32,51976,37,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
28,34,false,,,,,,,,,,,,,,
30,46,false,,,,,,,,,,,,,,
32,46,true,186,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,32,51896,37,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
34,22,true,183,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,7,14868,11,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
36,21,true,188,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,7,14874,17,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
38,18,false,,,,,,,,,,,,,,
40,15,true,187,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,5,11305,8,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
42,17,false,,,,,,,,,,,,,,
44,15,true,187,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,5,11262,9,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
46,7,false,,,,,,,,,,,,,,
48,6,false,,,,,,,,,,,,,,
50,10,false,,,,,,,,,,,,,,
52,8,true,189,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,2,2182,5,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
54,12,true,187,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,3,10144,6,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
56,11,false,,,,,,,,,,,,,,
58,26,false,,,,,,,,,,,,,,
60,19,true,184,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,7,14854,11,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
62,23,true,185,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,8,14803,12,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
64,14,true,184,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,5,11438,8,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
66,26,false,,,,,,,,,,,,,,
68,15,false,,,,,,,,,,,,,,
70,17,true,199,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,7,14847,11,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
72,36,true,185,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): null-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Could not initialize class org.joda.time.MonthDay-]",,,33,51945,38,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,"process:[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): null-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Could not initialize class org.joda.time.MonthDay-]hotswap:[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]"
74,8,true,195,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,2,2161,5,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
76,2,false,,,,,,,,,,,,,,
78,13,true,190,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,5,11405,8,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
80,25,true,195,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,18,31583,22,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
82,8,true,186,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,2,2141,5,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
84,7,true,183,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,4,3771,7,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
86,34,true,187,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,31,51814,37,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
88,36,true,196,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,,31,51920,37,false,2,"[testFactory_monthsBetween_RPartial_MonthDay(org.joda.time.TestMonths): Value 29 for dayOfMonth must be in the range 1, 28-, testFactory_daysBetween_RPartial_MonthDay(org.joda.time.TestDays): Value 29 for dayOfMonth must be in the range 1, 28-]",,
