id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,80,true,137,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): Column key (C2) not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): Column key (C1) not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,4513,7,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): Column key (C2) not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): Column key (C1) not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): Column key (C2) not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): Column key (C1) not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): Column key (C2) not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): Column key (C1) not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
3,49,true,141,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,2,4593,5,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
4,68,true,123,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,4593,11,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
5,27,true,130,false,4,"[testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,4565,7,false,4,"[testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
6,4,false,,,,,,,,,,,,,,
7,52,true,296,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,3471,7,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
8,29,true,107,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): -1-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,3451,6,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): null-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): -1-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): null-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
9,40,true,127,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): -1-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,3451,6,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): null-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): -1-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): null-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
10,32,true,159,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): -1-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,3,3459,6,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): null-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): -1-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): null-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
11,25,true,119,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]",,,2,3410,5,false,6,"[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]",,"process:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): -1-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): -1-]hotswap:[testRemoveColumnByKey(org.jfree.data.junit.KeyedObjects2DTests): The key (C2) is not recognised.-, testRemoveValue(org.jfree.data.junit.KeyedObjects2DTests): expected:<1> but was:<2>-, testGetValueByKey(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveColumnByIndex(org.jfree.data.junit.KeyedObjects2DTests): The key (C1) is not recognised.-, testSetObject(org.jfree.data.junit.KeyedObjects2DTests): null-, testRemoveRowByKey(org.jfree.data.junit.KeyedObjects2DTests): null-]"
