id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,48,true,160,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,12889,28,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
3,31,true,135,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,12962,22,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
4,30,true,157,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,12929,16,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
5,28,true,167,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,12943,74,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
6,28,true,159,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,6,12943,18,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
7,49,true,246,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,4572,12,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
8,42,true,174,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,4564,15,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
9,19,true,141,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,4564,12,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
10,21,true,129,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,2,7775,10,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
11,18,true,160,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,3,7561,11,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
12,29,true,139,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,2,7668,11,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
13,30,true,163,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,3,7791,20,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
14,58,true,180,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,6,8445,57,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
15,44,true,194,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8365,63,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
16,21,true,282,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8445,37,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
17,22,true,327,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,6,8410,30,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
18,59,true,344,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8410,12,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
19,21,true,300,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8447,46,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
20,47,true,194,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8445,21,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
21,66,true,246,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8410,22,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
22,20,true,214,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8410,17,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
23,16,true,187,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8449,15,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
24,29,true,341,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,8447,11,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
25,58,true,234,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8445,14,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
26,33,true,242,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8410,13,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
27,20,true,228,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,5,8410,14,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
28,21,true,162,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,9,8445,17,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
29,47,true,229,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,8410,10,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
30,20,true,121,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,,4,8410,13,false,1,"[TestLang747(org.apache.commons.lang3.math.NumberUtilsTest): For input string: ""80000000""-]",,
