id,compile_time,compile_result,process_failing_time,process_failing_result,process_failing_count,process_failing_cases,process_regression_time,process_regression_result,hotswap_time,hotswap_length,hotswap_failing_time,hotswap_failing_result,hotswap_failing_count,hotswap_failing_cases,hotswap_regression_time,side_effect
2,85,true,245,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,3,2152,26,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
3,59,true,364,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,4,2127,10,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
4,31,true,305,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,3,2127,7,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
5,18,true,261,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,3,2152,8,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
6,18,true,271,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,3,1277,14,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
7,29,true,276,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,3,1277,9,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
8,114,true,319,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,51,51796,100,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
9,77,true,246,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,67,51753,90,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
10,94,true,294,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,66,51900,75,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
11,85,true,213,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,,62,51900,73,false,8,"[testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDate_Constructors): expected:<0000-02-03> but was:<0001-02-03>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDate_Constructors): expected:<-0002-02-03> but was:<0003-02-03>-, testFactory_fromDateFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromDateFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero1(org.joda.time.TestLocalDateTime_Constructors): expected:<0000-02-03T04:05:06.007> but was:<0001-02-03T04:05:06.007>-, testFactory_fromCalendarFields_beforeYearZero3(org.joda.time.TestLocalDateTime_Constructors): expected:<-0002-02-03T04:05:06.007> but was:<0003-02-03T04:05:06.007>-]",,
