bug_id,avg_process_failing_time,avg_hotswap_failing_time,avg_hotswap_time,avg_process_regression_time,avg_hotswap_regression_time,regular_count,process_timeout_count,hotswap_timeout_count
Math_1,165,16,8,,,6,0,0
Math_2,142,21,8,,,5,0,0
Math_3,140,60,48,,,6,0,0
Math_4,131,19,16,,,19,0,0
Math_5,154,21,11,,,13,0,0
Math_6,1722,1292,4,,,771,16,16
Math_7,159,21,3,,,189,14,14
Math_8,143,75,50,162120,145186,33,0,0
Math_9,108,10,8,,,5,0,0
Math_10,852,562,10,,,61,0,0
Math_11,256,98,13,,,41,0,0
Math_12,546,118,14,167051,153682,50,2,2
Math_13,2520,4702,29,,,7,0,0
Math_14,844,709,29,,,5,0,0
Math_15,3453,3258,2,126627,116529,83,2,4
Math_16,3613,3385,4,,,97,2,4
Math_17,479,27,6,,,236,12,3
Math_18,1927,1725,5,,,433,4,5
Math_19,1824,1702,8,,,174,0,1
Math_20,1976,1767,13,132368,123607,426,4,4
Math_21,100,15,10,,,60,0,0
Math_22,260,25,5,,,3,0,0
Math_23,113,10,2,,,110,2,2
Math_24,114,11,4,127849,123634,117,2,2
Math_25,113,19,13,,,35,0,0
Math_26,97,6,1,,,615,0,0
Math_27,,,,,,0,0,0
Math_28,193,30,2,131396,124916,189,6,6
Math_29,330,133,5,,,108,10,10
Math_30,160,21,10,,,37,0,0
Math_31,197,24,0,,,33,1,1
Math_32,142,25,3,119535,120879,643,22,22
Math_33,216,32,2,,,189,1,1
Math_34,103,7,4,,,10,0,0
Math_35,102,10,7,,,87,0,0
Math_36,120,9,4,,,3,0,0
Math_37,137,24,11,,,112,2,2
Math_38,1512,1373,10,,,174,0,0
Math_39,141,28,9,,,27,2,2
Math_40,151,47,1,297196,296182,68,5,5
Math_41,129,7,4,,,65,0,0
Math_42,194,27,1,,,174,1,1
Math_43,137,12,8,94510,98873,145,0,0
Math_44,110,8,6,,,181,3,0
Math_45,83,8,7,,,109,0,0
Math_46,167,11,4,,,41,0,0
Math_47,157,10,3,,,41,0,0
Math_48,130,24,0,,,40,2,2
Math_49,161,20,12,65866,60264,59,0,0
Math_50,130,18,1,66074,60606,37,0,0
Math_51,144,24,0,,,40,2,2
Math_52,,,,,,0,0,0
Math_53,149,12,3,,,1,0,0
Math_54,501,28,3,,,476,104,9
Math_55,,,,,,0,0,0
Math_56,119,12,0,,,33,2,2
Math_57,219,97,1,,,28,4,4
Math_58,191,68,4,63528,61392,298,34,34
Math_59,3435,3233,2,,,80,2,4
Math_60,155,23,4,12042,11858,43,7,7
Math_61,325,67,3,,,5,0,0
Math_62,130,5,2,,,126,2,2
Math_63,440,186,10,,,12,0,0
Math_64,184,58,1,,,300,3,3
Math_65,135,16,2,,,227,2,2
Math_66,162,75,1,,,168,24,25
Math_67,150,71,0,,,111,16,16
Math_68,183,58,1,,,296,3,3
Math_69,124,15,2,,,112,4,4
Math_70,96,4,2,,,3,0,0
Math_71,329,201,1,7800,6761,191,78,78
Math_72,104,4,2,,,23,0,0
Math_73,107,4,2,,,37,0,0
Math_74,245,106,1,,,289,110,110
Math_75,101,15,1,,,41,1,1
Math_76,102,9,6,,,300,0,0
Math_77,126,12,3,,,47,0,0
Math_78,95,7,3,6702,5003,56,0,0
Math_79,83,4,2,,,8,0,0
Math_80,169,43,5,6596,4378,414,18,18
Math_81,171,48,4,6413,3840,310,21,21
Math_82,154,16,2,5383,5306,119,1,1
Math_83,143,13,0,,,140,2,2
Math_84,108,15,1,5376,4652,64,8,8
Math_85,124,16,2,4984,2966,57,7,7
Math_86,116,10,6,,,40,0,0
Math_87,146,11,0,,,146,1,1
Math_88,155,13,1,,,166,1,1
Math_89,113,9,5,,,1,0,0
Math_90,93,8,5,,,4,0,0
Math_91,123,62,1,,,7,16,16
Math_92,123,11,2,,,39,0,0
Math_93,143,9,2,,,11,0,0
Math_94,,,2,,,0,1,1
Math_95,130,28,0,,,26,2,3
Math_96,127,7,2,,,3,0,0
Math_97,125,4,2,,,3,0,0
Math_98,124,10,2,,,14,0,0
Math_99,282,167,1,,,19,15,15
Math_100,140,11,0,,,91,1,1
Math_101,137,8,1,,,39,0,0
Math_102,140,22,0,,,64,5,5
Math_103,112,4,1,,,9,0,0
Math_104,470,395,1,,,12,1,1
Math_105,112,3,1,,,13,0,0
Math_106,106,12,0,,,53,16,16
Chart_1,165,12,9,6470,4046,35,0,0
Chart_2,149,6,3,,,59,0,0
Chart_3,167,9,4,,,72,0,0
Chart_4,812,39,8,,,531,0,0
Chart_5,171,8,3,10483,5978,22,0,0
Chart_6,138,5,2,,,41,0,0
Chart_7,152,7,2,,,58,0,0
Chart_8,,,,,,0,0,0
Chart_9,179,10,3,,,87,0,0
Chart_10,,,,,,0,0,0
Chart_11,148,8,2,,,22,0,0
Chart_12,299,11,5,,,34,0,0
Chart_13,165,6,3,7557,4782,175,0,0
Chart_14,740,55,8,,,56,0,0
Chart_15,330,9,4,6115,4129,439,0,0
Chart_16,272,8,3,,,16,0,0
Chart_17,170,8,3,,,49,0,0
Chart_18,170,7,2,,,36,0,0
Chart_19,496,25,7,,,233,0,0
Chart_20,,,,,,0,0,0
Chart_21,154,6,2,7169,4522,76,0,0
Chart_22,122,5,2,,,74,0,0
Chart_23,360,14,5,,,44,0,0
Chart_24,106,4,2,,,1,0,0
Chart_25,363,17,6,6503,3980,909,0,0
Chart_26,737,45,6,6811,4058,877,0,0
Lang_1,182,26,13,,,136,0,0
Lang_2,150,23,13,,,126,0,0
Lang_3,184,27,14,,,126,0,0
Lang_4,118,22,13,,,115,0,0
Lang_5,144,24,13,,,120,0,0
Lang_6,312,33,14,,,119,0,0
Lang_7,165,23,13,,,119,0,0
Lang_8,280,27,5,,,111,4,4
Lang_9,1837,280,8,,,103,4,3
Lang_10,1833,337,8,,,103,4,3
Lang_11,160,21,13,,,103,0,0
Lang_12,138,16,11,,,103,0,0
Lang_13,173,17,12,,,108,0,0
Lang_14,126,7,4,,,73,0,0
Lang_15,142,9,3,,,77,0,0
Lang_16,134,10,3,,,106,0,0
Lang_17,292,96,3,,,111,0,0
Lang_18,146,7,4,,,111,0,0
Lang_19,97,5,3,,,96,0,0
Lang_20,231,11,3,,,96,0,0
Lang_21,212,12,4,,,16,0,0
Lang_22,179,50,5,,,10,0,0
Lang_23,1143,110,4,,,13,0,0
Lang_24,138,12,3,,,13,0,0
Lang_25,117,9,4,,,13,0,0
Lang_26,154,9,4,,,13,0,0
Lang_27,146,17,4,,,11,0,0
Lang_28,113,7,4,,,12,0,0
Lang_29,124,10,4,,,12,0,0
Lang_30,136,9,3,,,17,0,0
Lang_31,206,16,3,,,17,0,0
Lang_32,211,12,4,,,10,0,0
Lang_33,250,13,3,,,10,0,0
Lang_34,201,17,3,,,10,0,0
Lang_35,141,16,5,,,35,0,0
Lang_36,157,22,6,,,28,0,0
Lang_37,133,9,5,,,26,0,0
Lang_38,182,16,8,,,28,0,0
Lang_39,282,21,6,,,28,0,0
Lang_40,125,9,5,,,6,0,0
Lang_41,228,12,2,,,24,0,0
Lang_42,272,72,18,,,68,0,0
Lang_43,1175,544,1,,,5,7,3
Lang_44,137,6,2,,,28,0,0
Lang_45,172,8,2,,,37,0,0
Lang_46,322,75,1,,,22,0,0
Lang_47,221,30,7,,,11,0,0
Lang_48,,,,,,0,0,0
Lang_49,,,,,,0,0,0
Lang_50,,,,,,0,0,0
Lang_51,,,,,,0,0,0
Lang_52,,,,,,0,0,0
Lang_53,,,,,,0,0,0
Lang_54,,,,,,0,0,0
Lang_55,,,,,,0,0,0
Lang_56,,,,,,0,0,0
Lang_57,,,,,,0,0,0
Lang_58,,,,,,0,0,0
Lang_59,,,,,,0,0,0
Lang_60,204,14,4,,,46,1,1
Lang_61,179,25,2,,,53,3,3
Lang_62,240,61,9,,,49,0,0
Lang_63,149,14,2,10149,9246,109,2,2
Lang_64,162,38,3,,,40,0,0
Lang_65,248,18,2,,,38,0,0
Time_1,134,17,14,,,281,0,0
Time_2,201,22,15,,,272,4,0
Time_3,149,16,10,,,331,2,2
Time_4,238,28,18,,,275,4,0
Time_5,293,24,14,,,267,0,0
Time_6,170,19,13,,,275,0,0
Time_7,245,37,22,,,316,5,0
Time_8,289,33,18,,,280,4,0
Time_9,268,32,16,,,279,4,0
Time_10,238,29,20,,,306,4,0
Time_11,279,41,22,7952,4942,288,0,0
Time_12,245,25,11,,,280,5,1
Time_13,144,16,13,,,280,0,0
Time_14,190,21,15,,,337,5,0
Time_15,107,16,12,,,245,0,0
Time_16,228,33,22,,,439,6,0
Time_17,258,25,14,,,249,5,0
Time_18,405,44,12,,,244,0,1
Time_19,256,24,13,,,249,5,0
Time_20,184,21,9,,,313,5,5
Time_21,270,24,12,,,237,4,0
Time_22,232,20,13,,,291,0,0
Time_23,252,23,12,,,281,5,1
Time_24,198,29,20,6901,5546,512,7,1
Time_25,219,22,11,,,304,7,2
Time_26,219,23,8,,,399,8,3
Time_27,164,14,8,,,411,1,1
