bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Chart_25,2,-,-,-,-,-
Chart_25,4,15,17035,5,21,-
Chart_25,6,11,8305,7,19,-
Chart_25,8,-,-,-,-,-
Chart_25,10,-,-,-,-,-
Chart_25,12,17,16858,8,26,-
Chart_25,14,-,-,-,-,-
Chart_25,16,14,42869,7,23,-
Chart_25,18,10,3595,6,18,-
Chart_25,20,-,-,-,-,-
Chart_25,22,-,-,-,-,-
Chart_25,24,-,-,-,-,-
Chart_25,26,-,-,-,-,-
Chart_25,28,-,-,-,-,-
Chart_25,30,-,-,-,-,-
Chart_25,32,-,-,-,-,-
Chart_25,34,-,-,-,-,-
Chart_25,36,24,42107,6 2975,31,2987
Chart_25,38,21,15427,9,32,-
Chart_25,40,15,10178,7,23,-
Chart_25,42,15,23131,6,23,-
Chart_25,44,16,17010,6,24,-
Chart_25,46,-,-,-,-,-
Chart_25,48,13,3700,8,22,-
Chart_25,50,13,3574,6,20,-
Chart_25,52,13,8293,8,22,-
Chart_25,54,14,23123,6,21,-
Chart_25,56,13,8456,8,22,-
Chart_25,58,13,3721,6,20,-
Chart_25,60,14,16954,3,19,-
Chart_25,62,19,42522,6,26,-
Chart_25,64,17,42577,7,24,-
Chart_25,66,14,15013,6,21,-
Chart_25,68,18,23047,6,25,-
Chart_25,70,-,-,-,-,-
Chart_25,72,-,-,-,-,-
Chart_25,74,13,23048,6,20,-
Chart_25,76,15,42636,6,22,-
Chart_25,78,15,42746,7,23,-
Chart_25,80,13,10194,6,20,-
Chart_25,82,16,23195,6,23,-
Chart_25,84,14,10181,6,21,-
Chart_25,86,15,15507,6,22,-
Chart_25,88,13,16951,6,20,-
Chart_25,90,-,-,-,-,-
Chart_25,92,15,42723,6,22,-
Chart_25,94,13,15584,6,20,-
Chart_25,96,15,16903,6,22,-
Chart_25,98,13,8508,6,20,-
Chart_25,100,12,2139,3,16,-
Chart_25,102,12,3725,6,19,-
Chart_25,104,-,-,-,-,-
Chart_25,106,14,14719,4,20,-
Chart_25,108,12,3687,6,19,-
Chart_25,110,-,-,-,-,-
Chart_25,112,-,-,-,-,-
Chart_25,114,13,7364,6,19,-
Chart_25,116,-,-,-,-,-
Chart_25,118,12,8446,6,19,-
Chart_25,120,-,-,-,-,-
Chart_25,122,-,-,-,-,-
Chart_25,124,-,-,-,-,-
Chart_25,126,-,-,-,-,-
Chart_25,128,15,42714,6,22,-
Chart_25,130,14,15678,6,21,-
Chart_25,132,-,-,-,-,-
Chart_25,134,12,8506,6,19,-
Chart_25,136,13,16684,6,20,-
Chart_25,138,-,-,-,-,-
Chart_25,140,15,42718,7,23,-
Chart_25,142,-,-,-,-,-
Chart_25,144,14,10056,6,21,-
Chart_25,146,14,23149,6,21,-
Chart_25,148,15,16833,6,22,-
Chart_25,150,14,10176,3,18,-
Chart_25,152,15,17116,6,22,-
Chart_25,154,15,42753,6,22,-
Chart_25,156,-,-,-,-,-
Chart_25,158,-,-,-,-,-
Chart_25,160,13,3716,6,20,-
Chart_25,162,21,42827,6,36,-
Chart_25,164,13,8426,6,20,-
Chart_25,166,13,8485,6,20,-
Chart_25,168,12,2777,5 2933,19,2937
Chart_25,170,-,-,-,-,-
Chart_25,172,-,-,-,-,-
Chart_25,174,17,42714,6,24,-
Chart_25,176,14,3662,2,18,-
Chart_25,178,23,42718,5,30,-
Chart_25,180,14,8426,6,21,-
Chart_25,182,15,14987,3,19,-
Chart_25,184,-,-,-,-,-
Chart_25,186,16,16746,7,24,-
Chart_25,188,23,42689,5,30,-
Chart_25,190,15,16976,6,22,-
Chart_25,192,14,4848,6,21,-
Chart_25,194,23,42160,6,30,-
Chart_25,196,-,-,-,-,-
Chart_25,198,16,22775,4,21,-
Chart_25,200,16,42689,5,23,-
Chart_25,202,14,8465,6,22,-
Chart_25,204,14,8446,5,21,-
Chart_25,206,14,7396,6,21,-
Chart_25,208,14,3696,5,21,-
Chart_25,210,15,23116,5,22,-
Chart_25,212,16,16689,6,23,-
Chart_25,214,-,-,-,-,-
Chart_25,216,14,5245,3,18,-
Chart_25,218,15,10176,6,22,-
Chart_25,220,-,-,-,-,-
Chart_25,222,14,5238,2,17,-
Chart_25,224,16,23058,5,23,-
Chart_25,226,17,42744,6,24,-
Chart_25,228,16,42638,6,24,-
Chart_25,230,13,8209,6,20,-
Chart_25,232,23,42679,5,29,-
Chart_25,234,14,3705,5 2962,20,2966
Chart_25,236,15,8401,6,21,-
Chart_25,238,15,10257,6,22,-
Chart_25,240,18,42718,5,24,-
