bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Chart_7,2,225,155,226,-
Chart_7,4,269,183,270,-
Chart_7,6,198,133,199,-
Chart_7,8,-,-,-,-
Chart_7,10,231,160,232,-
Chart_7,12,131,64,132,-
Chart_7,14,344,270,345,-
Chart_7,16,-,-,-,-
Chart_7,18,-,-,-,-
Chart_7,20,-,-,-,-
Chart_7,22,256,188,256,-
Chart_7,24,-,-,-,-
Chart_7,26,-,-,-,-
Chart_7,28,233,147,234,-
Chart_7,30,105,42,105,-
Chart_7,32,294,222,294,-
Chart_7,34,119,53,120,-
Chart_7,36,-,-,-,-
Chart_7,38,227,166,228,-
Chart_7,40,303,226,304,-
Chart_7,42,254,174,254,-
Chart_7,44,208,127,208,-
Chart_7,46,192,117,192,-
Chart_7,48,104,42,105,-
Chart_7,50,188,119,188,-
Chart_7,52,304,229,304,-
Chart_7,54,191,113,192,-
Chart_7,56,210,138,211,-
Chart_7,58,-,-,-,-
Chart_7,60,220,138,220,-
Chart_7,62,-,-,-,-
Chart_7,64,201,122,201,-
Chart_7,66,203,131,204,-
Chart_7,68,256,183,256,-
Chart_7,70,-,-,-,-
Chart_7,72,-,-,-,-
Chart_7,74,-,-,-,-
Chart_7,76,307,236,307,-
Chart_7,78,191,117,192,-
Chart_7,80,-,-,-,-
Chart_7,82,-,-,-,-
Chart_7,84,208,148,209,-
Chart_7,86,186,116,187,-
Chart_7,88,242,183,243,-
Chart_7,90,224,147,225,-
Chart_7,92,-,-,-,-
Chart_7,94,-,-,-,-
Chart_7,96,-,-,-,-
Chart_7,98,-,-,-,-
Chart_7,100,-,-,-,-
Chart_7,102,-,-,-,-
Chart_7,104,248,168,249,-
Chart_7,106,206,136,207,-
Chart_7,108,128,52,128,-
Chart_7,110,-,-,-,-
Chart_7,112,253,183,254,-
Chart_7,114,-,-,-,-
Chart_7,116,233,163,234,-
Chart_7,118,256,178,256,-
Chart_7,120,237,163,237,-
Chart_7,122,231,169,231,-
Chart_7,124,122,53,122,-
Chart_7,126,219,149,220,-
Chart_7,128,102,42,103,-
Chart_7,130,214,138,214,-
Chart_7,132,-,-,-,-
Chart_7,134,245,180,246,-
Chart_7,136,255,180,255,-
Chart_7,138,273,197,273,-
Chart_7,140,315,243,315,-
Chart_7,142,109,44,109,-
Chart_7,144,231,161,231,-
Chart_7,146,286,213,287,-
Chart_7,148,301,231,302,-
Chart_7,150,292,215,292,-
Chart_7,152,-,-,-,-
Chart_7,154,232,161,232,-
Chart_7,156,198,135,199,-
Chart_7,158,222,162,222,-
Chart_7,160,298,228,299,-
Chart_7,162,196,126,196,-
Chart_7,164,-,-,-,-
Chart_7,166,306,229,306,-
Chart_7,168,-,-,-,-
Chart_7,170,-,-,-,-
Chart_7,172,193,122,194,-
Chart_7,174,190,114,190,-
Chart_7,176,-,-,-,-
Chart_7,178,-,-,-,-
Chart_7,180,270,193,270,-
Chart_7,182,242,176,242,-
Chart_7,184,-,-,-,-
Chart_7,186,275,206,275,-
Chart_7,188,107,41,107,-
Chart_7,190,212,131,212,-
Chart_7,192,-,-,-,-
Chart_7,194,205,146,206,-
Chart_7,196,-,-,-,-
Chart_7,198,-,-,-,-
Chart_7,200,227,151,228,-
Chart_7,202,273,212,273,-
Chart_7,204,217,156,217,-
Chart_7,206,287,217,287,-
Chart_7,208,212,128,212,-
Chart_7,210,187,117,187,-
Chart_7,212,-,-,-,-
Chart_7,214,109,44,109,-
Chart_7,216,217,153,217,-
Chart_7,218,223,153,224,-
Chart_7,220,-,-,-,-
Chart_7,222,240,180,240,-
Chart_7,224,-,-,-,-
Chart_7,226,264,202,264,-
Chart_7,228,245,162,246,-
Chart_7,230,194,121,194,-
Chart_7,232,227,157,228,-
Chart_7,234,-,-,-,-
Chart_7,236,242,164,242,-
Chart_7,238,195,125,195,-
Chart_7,240,-,-,-,-
Chart_7,242,-,-,-,-
Chart_7,244,318,258,319,-
Chart_7,246,-,-,-,-
Chart_7,248,225,154,225,-
Chart_7,250,245,174,245,-
Chart_7,252,218,141,218,-
Chart_7,254,254,177,254,-
Chart_7,256,-,-,-,-
Chart_7,258,232,167,232,-
Chart_7,260,181,119,181,-
Chart_7,262,-,-,-,-
Chart_7,264,260,192,261,-
Chart_7,266,-,-,-,-
Chart_7,268,201,141,201,-
Chart_7,270,-,-,-,-
Chart_7,272,213,153,213,-
Chart_7,274,226,160,226,-
Chart_7,276,222,162,223,-
Chart_7,278,-,-,-,-
Chart_7,280,282,212,282,-
Chart_7,282,235,142,236,-
Chart_7,284,202,131,202,-
Chart_7,286,201,124,201,-
Chart_7,288,-,-,-,-
Chart_7,290,234,156,234,-
Chart_7,292,-,-,-,-
Chart_7,294,225,154,225,-
Chart_7,296,260,188,260,-
Chart_7,298,221,161,221,-
Chart_7,300,207,137,207,-
Chart_7,302,201,126,201,-
Chart_7,304,266,190,266,-
Chart_7,306,215,153,215,-
Chart_7,308,-,-,-,-
Chart_7,310,-,-,-,-
Chart_7,312,-,-,-,-
Chart_7,314,232,157,232,-
Chart_7,316,265,192,265,-
