bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_5,2,4473,4297,4473,-
Math_5,6,4414,4286,4415,-
Math_5,8,-,-,-,-
Math_5,10,-,-,-,-
Math_5,12,4401,4279,4402,-
Math_5,14,4403,4276,4404,-
Math_5,16,4419,4285,4420,-
Math_5,18,4480,4303,4481,-
Math_5,20,4518,4293,4519,-
Math_5,22,4437,4332,4438,-
Math_5,24,-,-,-,-
Math_5,26,-,-,-,-
Math_5,28,-,-,-,-
Math_5,30,4378,4244,4379,-
Math_5,32,4431,4311,4431,-
Math_5,34,-,-,-,-
Math_5,36,4429,4268,4429,-
Math_5,38,-,-,-,-
Math_5,40,4485,4324,4486,-
Math_5,42,4484,4307,4485,-
Math_5,44,4558,4354,4559,-
Math_5,46,4528,4364,4529,-
Math_5,48,-,-,-,-
Math_5,50,-,-,-,-
Math_5,52,-,-,-,-
Math_5,54,4450,4308,4451,-
Math_5,56,-,-,-,-
Math_5,58,-,-,-,-
Math_5,60,-,-,-,-
Math_5,62,4439,4290,4440,-
Math_5,64,4462,4299,4463,-
Math_5,66,-,-,-,-
Math_5,70,4367,4244,4367,-
Math_5,72,4403,4291,4403,-
Math_5,74,4419,4294,4419,-
Math_5,76,-,-,-,-
Math_5,78,-,-,-,-
Math_5,80,4483,4292,4484,-
Math_5,82,-,-,-,-
Math_5,84,-,-,-,-
Math_5,86,4481,4316,4482,-
Math_5,88,4436,4297,4437,-
Math_5,90,-,-,-,-
Math_5,92,4442,4327,4443,-
Math_5,94,-,-,-,-
Math_5,96,-,-,-,-
Math_5,98,4547,4399,4547,-
Math_5,100,4322,4223,4323,-
Math_5,102,-,-,-,-
Math_5,104,-,-,-,-
Math_5,106,-,-,-,-
Math_5,108,4456,4342,4456,-
Math_5,110,-,-,-,-
Math_5,112,4398,4278,4399,-
Math_5,114,4490,4316,4490,-
Math_5,116,4384,4231,4384,-
Math_5,118,4439,4282,4439,-
Math_5,120,-,-,-,-
Math_5,122,-,-,-,-
Math_5,124,4399,4275,4399,-
Math_5,126,4398,4300,4398,-
Math_5,128,4534,4355,4534,-
Math_5,130,-,-,-,-
Math_5,132,-,-,-,-
Math_5,134,-,-,-,-
Math_5,136,4422,4310,4423,-
Math_5,138,4450,4321,4450,-
Math_5,140,4405,4292,4406,-
Math_5,142,-,-,-,-
Math_5,144,4366,4259,4367,-
Math_5,146,4479,4345,4480,-
Math_5,148,-,-,-,-
Math_5,150,-,-,-,-
Math_5,152,4388,4284,4389,-
Math_5,154,4474,4378,4474,-
Math_5,156,4454,4316,4455,-
Math_5,158,-,-,-,-
Math_5,160,4380,4279,4381,-
Math_5,162,4515,4364,4515,-
Math_5,164,-,-,-,-
Math_5,166,4425,4266,4426,-
Math_5,168,-,-,-,-
Math_5,170,-,-,-,-
Math_5,172,4403,4254,4404,-
Math_5,174,4395,4287,4396,-
Math_5,176,4482,4321,4483,-
Math_5,178,-,-,-,-
Math_5,180,-,-,-,-
Math_5,182,-,-,-,-
Math_5,184,-,-,-,-
Math_5,186,-,-,-,-
Math_5,188,4517,4309,4517,-
Math_5,190,-,-,-,-
Math_5,192,4429,4334,4430,-
Math_5,194,-,-,-,-
Math_5,196,-,-,-,-
Math_5,198,4418,4280,4419,-
Math_5,200,-,-,-,-
Math_5,202,-,-,-,-
Math_5,204,4456,4330,4456,-
Math_5,208,4368,4262,4369,-
Math_5,210,4532,4337,4533,-
Math_5,212,4456,4290,4456,-
Math_5,214,4426,4294,4427,-
Math_5,216,4462,4316,4462,-
Math_5,218,-,-,-,-
Math_5,220,-,-,-,-
Math_5,222,-,-,-,-
Math_5,224,-,-,-,-
Math_5,226,-,-,-,-
Math_5,228,-,-,-,-
Math_5,230,-,-,-,-
Math_5,232,4365,4229,4365,-
Math_5,234,4417,4273,4418,-
Math_5,236,4343,4204,4344,-
Math_5,238,-,-,-,-
Math_5,240,4442,4304,4443,-
