bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Math_74,2,-,-,-,-,-
Math_74,4,9,3784,30,40,-
Math_74,6,8,3659,26,36,-
Math_74,8,11,7337,1,13,-
Math_74,10,8,3737,-,10015,-
Math_74,12,7 0,4831 1624,101,218,-
Math_74,14,2,3751,5499,5504,-
Math_74,16,2,4023,31,35,-
Math_74,18,2 2,4822 1612,3,8,-
Math_74,20,2 2,4817 1556,25,31,-
Math_74,22,2,3749,29,33,-
Math_74,24,2 1,4641 1624,40,45,-
Math_74,26,-,-,-,-,-
Math_74,28,2 1,4721 1624,1,6,-
Math_74,30,2 2,1521 4716,-,10005,-
Math_74,32,-,-,-,-,-
Math_74,34,6 0,4809 1624,105,242,-
Math_74,36,-,-,-,-,-
Math_74,38,2 2,4290 1624,-,10005,-
Math_74,40,2,4024,100,216,-
Math_74,42,2 1,4797 1624,3,7,-
Math_74,44,1 1 1 1 1,876 369 559 3714 2062,21,32,-
Math_74,46,-,-,-,-,-
Math_74,48,2 2,1501 4468,-,10005,-
Math_74,50,-,-,-,-,-
Math_74,52,1 0 1 3 0,876 369 559 3601 2032,52,182,-
Math_74,54,2,7334,42,45,-
Math_74,56,1 1 1 1 1,876 369 559 3601 2032,4,12,-
Math_74,58,2 1,4763 1624,-,10004,-
Math_74,60,4 0,4799 1624,-,10121,-
Math_74,62,4 0,4814 1624,-,10111,-
Math_74,64,-,-,-,-,-
Math_74,66,-,-,-,-,-
Math_74,68,3,7135,87,201,-
Math_74,70,2 2,1521 4656,24,29,-
Math_74,72,-,-,-,-,-
Math_74,74,-,-,-,-,-
Math_74,76,2 1,4290 1624,-,10004,-
Math_74,78,2,3752,-,10114,-
Math_74,80,6,7344,56,174,-
Math_74,82,2,7347,38,41,-
Math_74,84,2 1,4822 1598,-,10005,-
Math_74,86,-,-,-,-,-
Math_74,88,-,-,-,-,-
Math_74,90,6 0,4508 1624,-,10113,-
Math_74,92,-,-,-,-,-
Math_74,94,7 0,4815 1624,92,214,-
Math_74,96,2 1,4811 1624,-,10004,-
Math_74,98,2,3752,-,10111,-
Math_74,100,-,-,-,-,-
Math_74,102,6 0,4833 1624,87,206,-
Math_74,104,2,3698,23,26,-
Math_74,106,1 1 1 1 1,876 369 559 3714 1867,3,12,-
Math_74,108,-,-,-,-,-
Math_74,110,1 1 1 1 1,876 369 559 3705 2032,18,27,-
Math_74,112,2,7126,18,22,-
Math_74,114,2,3741,27,30,-
Math_74,116,-,-,-,-,-
Math_74,118,2 2,4809 1624,16,22,-
Math_74,120,2 1,1521 4654,18,23,-
Math_74,122,-,-,-,-,-
Math_74,124,2,7288,22,25,-
Math_74,126,2,5726,17,21,-
Math_74,128,-,-,-,-,-
Math_74,130,-,-,-,-,-
Math_74,132,-,-,-,-,-
Math_74,134,3 2,4757 1556,17,23,-
Math_74,136,3,3393,-,10003,-
Math_74,138,7,3635,86,212,-
Math_74,140,2,8144,36,40,-
Math_74,142,2 1,4822 1612,8,12,-
Math_74,144,-,-,-,-,-
Math_74,146,2 1,4813 1624,62,67,-
Math_74,148,2 1,4866 1624,17,22,-
Math_74,150,2 1,4860 1624,18,23,-
Math_74,152,2 1,4822 1253,2,7,-
Math_74,154,2 1,4812 1624,-,10004,-
Math_74,156,3,6769,71,182,-
Math_74,158,2 1,5209 645,37,41,-
Math_74,160,1 1 1 1 1,876 369 559 3705 2032,-,10008,-
Math_74,162,2,3720,-,10111,-
Math_74,164,1 0 1 2 0,876 369 559 3714 2006,-,10122,-
Math_74,166,3,7346,99,220,-
Math_74,168,1 1 1 1 1,876 369 559 3714 2001,2,11,-
Math_74,170,2 1 1 1 1,876 369 559 3714 2009,24,36,-
Math_74,172,2 2,1521 4654,18,23,-
Math_74,174,-,-,-,-,-
Math_74,176,2,3712,17,21,-
Math_74,178,2 1,1501 4549,21,26,-
Math_74,180,-,-,-,-,-
Math_74,182,2,3697,20,22,-
Math_74,184,2 1,4814 1624,-,10004,-
Math_74,186,4,5729,83,194,-
Math_74,188,2,5727,27,30,-
Math_74,190,-,-,-,-,-
Math_74,192,2,7325,28,31,-
Math_74,194,1 1,4812 1624,-,10004,-
Math_74,196,-,-,-,-,-
Math_74,198,2 1,1521 4673,85,196,-
Math_74,200,1 1,1521 4675,24,28,-
Math_74,202,1,3712,-,10002,-
Math_74,204,3,7325,103,217,-
Math_74,206,2 1,4816 1624,22,27,-
Math_74,208,1 1,1521 4662,25,29,-
Math_74,210,1,3752,-,10002,-
Math_74,212,3,3752,-,10116,-
Math_74,214,-,-,-,-,-
Math_74,216,1 0,4419 1378,-,10105,-
Math_74,218,-,-,-,-,-
Math_74,220,4 0,4832 1556,95,207,-
Math_74,222,1 1,5196 645,17,23,-
Math_74,224,-,-,-,-,-
Math_74,226,1,3749,3,5,-
Math_74,228,-,-,-,-,-
Math_74,230,1 1,1521 4681,29,34,-
Math_74,232,2,3698,23,26,-
Math_74,234,-,-,-,-,-
Math_74,236,-,-,-,-,-
Math_74,238,2 2,4794 1624,-,10005,-
Math_74,240,1,4036,95,202,-
Math_74,242,2,7209,34,37,-
Math_74,244,1 1 1 1 1,876 369 559 3714 2001,3,11,-
Math_74,246,2,7334,20,23,-
Math_74,248,2,7343,1,5,-
Math_74,250,2 1,4530 1378,18,24,-
Math_74,252,-,-,-,-,-
Math_74,254,2 2,3489 1624,-,10005,-
Math_74,256,-,-,-,-,-
Math_74,258,-,-,-,-,-
Math_74,260,4 0,4794 1624,-,10110,-
Math_74,262,3,7360,104,221,-
Math_74,264,-,-,-,-,-
Math_74,266,2,3971,17,22,-
Math_74,268,-,-,-,-,-
Math_74,270,-,-,-,-,-
Math_74,272,2,3813,32,35,-
Math_74,274,-,-,-,-,-
Math_74,276,2,3757,28,31,-
Math_74,278,2 2,4810 1624,27,33,-
Math_74,280,2,4032,30,33,-
Math_74,282,-,-,-,-,-
Math_74,284,2 1,4812 1624,-,10008,-
Math_74,286,2,3741,95,209,-
