bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_21,2,-,-,-,-,-
Time_21,4,-,-,-,-,-
Time_21,6,-,-,-,-,-
Time_21,8,10 8 8,13901 1039 827,21,51,-
Time_21,10,9 8,8207 3676,-,10019,-
Time_21,12,2,10483,177,292,-
Time_21,14,3 3,8151 3676,46,55,-
Time_21,16,3 3 3 3 3 3 3 3 3 2 3 3 3 2 2,2309 4729 3436 1776 12623 2882 1803 1709 4161 2210 3781 5452 5154 916 1499,48,99,-
Time_21,18,-,-,-,-,-
Time_21,20,-,-,-,-,-
Time_21,22,-,-,-,-,-
Time_21,24,4,3675,29,34,-
Time_21,26,-,-,-,-,-
Time_21,28,-,-,-,-,-
Time_21,30,-,-,-,-,-
Time_21,32,4 4 3 3 3 3 3 3,4049 4427 1526 1708 2295 7309 8740 3321,28,61,-
Time_21,34,-,-,-,-,-
Time_21,36,-,-,-,-,-
Time_21,38,-,-,-,-,-
Time_21,40,-,-,-,-,-
Time_21,42,-,-,-,-,-
Time_21,44,-,-,-,-,-
Time_21,46,-,-,-,-,-
Time_21,48,-,-,-,-,-
Time_21,50,5 3,7917 3676,31,41,-
Time_21,52,-,-,-,-,-
Time_21,54,5 4 3,13888 1039 827,29,43,-
Time_21,56,-,-,-,-,-
Time_21,58,5 3,7730 3676,31,41,-
Time_21,60,-,-,-,-,-
Time_21,62,5 4,7914 3676,28,39,-
Time_21,64,-,-,-,-,-
Time_21,66,-,-,-,-,-
Time_21,68,6 4 3,13779 1039 827,27,43,-
Time_21,70,5 4,8211 3676,23,33,-
Time_21,72,5 4,7914 3676,21,32,-
Time_21,74,5 4 4,13901 1039 827,23,39,-
Time_21,76,-,-,-,-,-
Time_21,78,5 4 4 4 4,508 5047 509 243 566,22,47,-
Time_21,80,5 4,8065 3676,20,31,-
Time_21,82,5 4,8211 3676,36,48,-
Time_21,84,6,2151,26,33,-
Time_21,86,-,-,-,-,-
Time_21,88,-,-,-,-,-
Time_21,90,7 6 6 6 6 5 5 5 5 5 5 5 5 5 5,2309 4729 3436 1776 12636 2882 1803 1709 4161 2210 3715 5452 5154 916 1499,21,114,-
Time_21,92,-,-,-,-,-
Time_21,94,6 5,8211 3463,25,39,-
Time_21,96,-,-,-,-,-
Time_21,98,6 5,8153 3676,25,38,-
Time_21,100,7 6 6 5 6 5 5 5 5 5 5 5 5 5 5,2309 4729 3436 1776 12636 2882 1803 1696 4161 2210 3781 5452 5154 916 1499,20,111,-
Time_21,102,7 5,7967 3548,-,10014,-
Time_21,104,2 1 11 0 2 0 0 0 0 0 0 1 1 0 0,2309 4729 3436 1776 12636 2869 1803 1709 4161 2210 3781 5452 5154 916 1499,170,306,-
Time_21,106,3 2,8211 3643,53,61,-
Time_21,108,3 3 2 2 3,508 5050 509 243 566,33,50,-
Time_21,110,-,-,-,-,-
Time_21,112,-,-,-,-,-
Time_21,114,4 3 3,13897 1039 827,28,40,-
Time_21,116,-,-,-,-,-
Time_21,118,3 3,1229 2925,27,35,-
Time_21,120,4 4 4 4 4 4 4 4 4 3 3 3 3 3 3,2309 4729 3436 1776 12636 2882 1803 1709 4161 2210 3759 5452 5154 916 1499,26,91,-
Time_21,122,-,-,-,-,-
Time_21,124,-,-,-,-,-
Time_21,126,4 3,8152 3676,25,35,-
Time_21,128,-,-,-,-,-
Time_21,130,5 3,7914 3676,25,35,-
Time_21,132,6,2099,22,30,-
Time_21,134,5 4 3,13896 1039 827,23,38,-
Time_21,136,-,-,-,-,-
Time_21,138,5 4,8121 3676,31,42,-
Time_21,140,-,-,-,-,-
Time_21,142,-,-,-,-,-
Time_21,144,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2309 4729 3436 1776 12636 2766 1803 1709 4161 2210 3781 5452 5154 916 1499,22,92,-
