bug_ID,variant_ID,process_lifetime,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_8,2,343,212,343,-
Time_8,4,391,242,392,-
Time_8,6,-,-,-,-
Time_8,8,-,-,-,-
Time_8,10,381,212,382,-
Time_8,12,-,-,-,-
Time_8,14,496,230,497,-
Time_8,16,-,-,-,-
Time_8,18,378,213,379,-
Time_8,20,-,-,-,-
Time_8,22,337,212,338,-
Time_8,24,-,-,-,-
Time_8,26,405,214,406,-
Time_8,28,446,236,446,-
Time_8,30,350,232,351,-
Time_8,32,350,216,351,-
Time_8,34,-,-,-,-
Time_8,36,326,213,327,-
Time_8,38,399,242,400,-
Time_8,40,-,-,-,-
Time_8,42,375,209,375,-
Time_8,44,362,242,363,-
Time_8,46,506,263,507,-
Time_8,48,336,205,336,-
Time_8,50,394,234,394,-
Time_8,52,426,259,427,-
Time_8,54,435,239,436,-
Time_8,56,-,-,-,-
Time_8,58,342,233,343,-
Time_8,60,-,-,-,-
Time_8,62,-,-,-,-
Time_8,64,-,-,-,-
Time_8,66,-,-,-,-
Time_8,68,-,-,-,-
Time_8,70,-,-,-,-
Time_8,72,-,-,10002,-
Time_8,74,324,219,325,-
Time_8,76,-,-,-,-
Time_8,78,-,-,-,-
Time_8,80,-,-,-,-
Time_8,82,359,241,359,-
Time_8,84,-,-,-,-
Time_8,86,397,243,398,-
Time_8,88,-,-,-,-
Time_8,90,420,242,420,-
Time_8,92,-,-,-,-
Time_8,94,-,-,-,-
Time_8,96,-,-,-,-
Time_8,98,311,209,312,-
Time_8,100,-,-,-,-
Time_8,102,352,232,353,-
Time_8,104,370,230,371,-
Time_8,106,-,-,-,-
Time_8,108,494,237,494,-
Time_8,110,317,208,317,-
Time_8,112,337,215,338,-
Time_8,114,329,221,330,-
Time_8,116,-,-,-,-
Time_8,118,-,-,-,-
Time_8,120,392,238,393,-
Time_8,122,315,213,316,-
Time_8,124,-,-,-,-
Time_8,126,366,210,366,-
Time_8,128,-,-,-,-
Time_8,130,-,-,-,-
Time_8,132,352,210,353,-
Time_8,134,365,251,366,-
Time_8,136,348,214,348,-
Time_8,138,367,214,368,-
Time_8,140,367,239,367,-
Time_8,142,-,-,-,-
Time_8,144,392,272,392,-
Time_8,146,-,-,-,-
Time_8,148,332,208,332,-
Time_8,150,354,210,355,-
Time_8,152,-,-,-,-
Time_8,154,-,-,-,-
Time_8,156,373,235,374,-
Time_8,158,-,-,-,-
Time_8,160,-,-,-,-
Time_8,162,402,246,402,-
Time_8,164,322,207,322,-
Time_8,166,-,-,-,-
Time_8,168,372,210,372,-
Time_8,170,334,208,335,-
Time_8,172,-,-,-,-
Time_8,174,382,244,382,-
Time_8,176,380,232,381,-
Time_8,178,-,-,-,-
Time_8,180,-,-,-,-
Time_8,182,-,-,-,-
Time_8,184,-,-,-,-
Time_8,186,325,215,326,-
Time_8,188,319,213,322,-
Time_8,190,-,-,-,-
Time_8,192,-,-,-,-
Time_8,194,-,-,-,-
Time_8,196,-,-,-,-
Time_8,198,398,259,399,-
Time_8,200,345,211,346,-
Time_8,202,384,222,385,-
Time_8,204,351,202,351,-
Time_8,206,335,216,336,-
Time_8,208,411,242,412,-
Time_8,210,-,-,-,-
Time_8,212,489,206,489,-
Time_8,214,-,-,-,-
Time_8,216,-,-,-,-
Time_8,218,353,247,354,-
Time_8,220,351,234,352,-
Time_8,222,353,215,353,-
Time_8,224,390,252,391,-
Time_8,226,429,273,429,-
Time_8,228,331,211,331,-
Time_8,230,343,244,343,-
Time_8,232,-,-,-,-
Time_8,234,422,227,423,-
Time_8,236,-,-,-,-
Time_8,238,-,-,-,-
Time_8,240,-,-,-,-
Time_8,242,327,191,327,-
Time_8,244,358,214,359,-
Time_8,246,359,238,359,-
Time_8,248,341,204,341,-
Time_8,250,-,-,-,-
Time_8,252,360,216,361,-
Time_8,254,370,210,370,-
Time_8,256,315,214,316,-
Time_8,258,356,216,357,-
Time_8,260,375,212,376,-
Time_8,262,-,-,-,-
Time_8,264,346,240,346,-
Time_8,266,-,-,-,-
Time_8,268,322,217,323,-
